X,Y,Z
7.5373,8.03938,0
8.78666,7.38675,0
8.75343,7.67393,0
6.7761,7.47495,0
7.99993,6.3622,0
6.79938,6.73205,0
9.14224,3.93598,0
7.3443,7.79007,0
9.13315,5.63231,0
7.17965,5.35683,0
9.30291,7.23405,0
7.98193,6.03993,0
8.94691,8.46136,0
7.61079,8.62404,0
8.00964,7.18534,0
7.37447,6.48601,0
8.82638,6.37106,0
7.24224,6.8926,0
9.56666,7.83925,0
7.82532,6.83801,0
8.95699,6.68975,0
9.28843,8.18589,0
8.3644,6.98365,0
7.49079,5.34765,0
9.46366,5.73267,0
7.88404,7.77077,0
9.1654,7.66704,0
10.1246,5.97259,0
8.10847,5.83899,0
9.21622,5.43712,0
8.93598,6.99223,0
10.1097,6.56488,0
9.50186,8.2986,0
8.3643,5.7793,0
7.53262,8.61764,0
9.10298,8.59112,0
9.35989,6.7087,0
9.29739,7.33427,0
7.51447,4.99119,0
8.73919,7.23421,0
7.33435,8.78891,0
9.22672,5.81913,0
8.48986,6.62412,0
8.88987,7.01206,0
7.42094,9.62953,0
6.75313,6.02563,0
7.59854,6.4732,0
6.28643,9.63707,0
9.26729,6.17823,0
9.18578,4.54715,0
6.82443,8.16719,0
8.09412,5.36417,0
7.70173,6.61568,0
8.20721,6.37241,0
8.90214,5.13986,0
8.15324,7.7367,0
9.78005,7.25376,0
10.0327,6.61955,0
8.17852,6.64153,0
8.29142,5.97952,0
9.34236,5.6301,0
9.49049,6.92356,0
9.03763,8.01044,0
7.29606,6.06482,0
7.88213,7.28113,0
8.93065,7.68904,0
8.07063,6.30455,0
9.1033,7.49337,0
9.76767,6.66383,0
8.07664,7.04294,0
9.1941,7.18958,0
7.99355,8.01569,0
8.06824,6.05936,0
9.69827,7.44978,0
7.03843,6.53769,0
7.44344,9.50283,0
9.97699,7.02775,0
6.68435,8.23837,0
9.48252,5.72786,0
6.44528,7.20119,0
7.56677,7.6798,0
7.58427,8.5613,0
7.27194,6.84028,0
8.67061,5.86172,0
7.20399,8.74695,0
8.18612,8.36811,0
6.79189,7.23377,0
8.04165,6.93646,0
8.30023,5.46505,0
8.92766,5.6289,0
6.37405,7.05833,0
7.75663,7.62124,0
8.67738,5.35114,0
8.07874,8.17254,0
7.48205,5.85136,0
6.76055,5.26462,0
9.65871,6.07977,0
6.99326,5.45463,0
6.59106,5.05872,0
9.30419,5.86612,0
9.84282,6.923,0
8.65227,7.90305,0
9.59421,6.9444,0
7.86863,7.45638,0
10.0865,7.43322,0
7.86844,6.23774,0
8.53442,7.15038,0
8.41233,6.56214,0
7.31332,8.25397,0
9.75196,6.35325,0
7.75435,8.68518,0
8.73436,7.8463,0
9.74503,4.93486,0
9.28267,7.35726,0
8.83624,8.97057,0
9.14362,6.03128,0
7.99004,7.14396,0
7.79168,8.77234,0
8.96652,7.52024,0
6.14184,5.61819,0
10.3697,6.67605,0
8.97005,7.75051,0
8.56692,5.18471,0
7.86455,7.86885,0
9.05994,6.72274,0
9.24566,7.98512,0
7.77471,6.67039,0
8.62939,6.47728,0
8.21742,6.58305,0
9.20083,7.19076,0
8.43324,5.96982,0
9.26684,6.55881,0
8.79286,4.87029,0
7.96233,7.75552,0
9.59112,7.20098,0
9.72412,6.85504,0
8.49965,5.53785,0
8.52118,8.5434,0
10.4625,8.90028,0
9.80004,5.58285,0
7.95796,7.99134,0
9.75789,7.17229,0
8.12043,4.26716,0
7.23396,7.31428,0
9.21777,6.5095,0
10.7545,8.14818,0
6.28061,5.44254,0
9.24891,6.52612,0
9.16062,6.03672,0
8.74329,6.00629,0
7.92178,7.33213,0
8.45291,5.40196,0
7.89331,6.28517,0
8.17761,7.30559,0
9.68753,7.24214,0
9.71744,6.22116,0
8.33588,8.65232,0
8.15265,6.41788,0
8.62999,5.93736,0
8.77412,6.09602,0
8.36242,7.53172,0
8.00643,7.56741,0
7.65874,6.24937,0
9.54062,6.10052,0
8.74869,5.94554,0
9.23243,7.12788,0
6.94397,7.17691,0
7.81021,6.14674,0
9.19139,6.45437,0
9.39967,5.38142,0
8.2212,8.39759,0
7.99395,4.97803,0
8.56411,6.03796,0
8.52801,6.03761,0
9.53041,6.87247,0
7.65689,6.46787,0
8.19584,6.86468,0
8.49033,7.21081,0
7.18342,6.63831,0
9.00266,8.21535,0
8.94914,7.63453,0
8.83764,8.51915,0
6.4561,5.79204,0
8.54893,5.84911,0
8.73985,5.84368,0
9.12512,6.49319,0
7.45901,8.76451,0
6.81965,7.50233,0
7.52808,5.6753,0
9.47613,8.07369,0
9.59434,5.97734,0
10.2956,7.05652,0
8.95232,6.89718,0
8.82369,5.58802,0
8.14963,6.96373,0
9.69184,7.57741,0
8.51195,6.83366,0
9.14432,5.7306,0
8.7694,7.54185,0
7.41441,7.3613,0
8.2552,5.28594,0
7.41688,5.13076,0
9.23405,7.86075,0
8.93442,6.28043,0
9.44484,6.66097,0
8.65537,6.87206,0
7.54107,9.00293,0
9.48187,7.22326,0
7.41294,7.16358,0
8.67957,7.03394,0
10.1769,6.7236,0
8.05303,7.54143,0
6.11632,6.80952,0
6.89205,7.47579,0
9.22563,9.48637,0
7.92425,6.80324,0
8.57209,4.80235,0
8.41594,7.17356,0
9.11198,6.74996,0
8.93578,6.47135,0
5.96601,7.91763,0
8.22823,7.49827,0
8.61824,7.3043,0
8.51218,7.29123,0
7.65911,4.56325,0
8.59499,6.22701,0
9.60663,7.34826,0
9.89413,7.15764,0
9.31196,7.03364,0
9.56097,5.58641,0
7.24843,7.55829,0
6.9938,7.17497,0
7.75077,4.61597,0
8.66979,6.93914,0
6.60359,6.6174,0
8.59272,6.61056,0
7.2499,7.55704,0
8.66539,5.51891,0
8.38892,6.98792,0
8.9214,7.35502,0
8.4651,6.12996,0
7.82462,7.66903,0
8.84406,6.51114,0
8.3075,7.5306,0
7.53143,7.6601,0
8.43757,5.26239,0
8.85263,6.67881,0
8.39526,7.21733,0
7.68336,5.87248,0
7.44838,7.50833,0
7.32128,4.88821,0
8.80074,5.83299,0
7.91277,7.3524,0
7.82856,6.35215,0
8.00122,7.77604,0
8.10082,6.68798,0
7.57329,7.35649,0
8.11993,7.00114,0
6.81803,6.42069,0
7.89868,8.99699,0
6.93826,7.21114,0
8.19704,8.23381,0
7.54724,6.75488,0
9.61101,6.69526,0
7.51359,8.30622,0
9.39134,6.22387,0
7.99674,7.31304,0
8.47078,7.95612,0
8.64146,9.09515,0
9.46984,5.89914,0
9.19264,5.10003,0
8.49007,9.61404,0
4.87493,7.60034,0
9.15212,4.91034,0
9.16893,7.31899,0
8.34246,7.15615,0
7.96621,7.71281,0
10.4492,8.24809,0
6.48469,7.76121,0
9.91866,5.92139,0
5.77371,6.29579,0
8.61196,8.67951,0
6.18075,7.4556,0
8.54487,6.13267,0
8.9938,7.61848,0
7.13692,6.0991,0
10.7671,6.08073,0
7.69325,8.33474,0
7.68601,6.39958,0
8.42887,7.08868,0
7.59593,6.25568,0
8.48545,7.60288,0
8.46597,7.30258,0
8.31348,7.2598,0
6.58768,6.36422,0
7.96412,6.81377,0
8.94629,6.50681,0
10.1481,6.86843,0
7.61379,8.44976,0
5.62992,6.81129,0
6.59996,9.34123,0
8.2469,7.97653,0
8.94189,7.49035,0
9.35064,5.36091,0
8.29474,5.94756,0
7.8583,6.71432,0
8.60811,9.08938,0
10.7733,6.71116,0
8.18562,6.18996,0
8.24166,7.61058,0
9.48049,6.54017,0
8.57072,6.24096,0
8.91568,7.87606,0
7.03617,7.05457,0
8.57342,7.42001,0
7.74975,6.57183,0
7.48093,4.83537,0
8.62948,7.45648,0
8.56624,6.73084,0
8.88038,4.99693,0
9.92712,6.58574,0
9.73155,6.4387,0
8.00322,7.02968,0
10.0288,5.34193,0
8.66125,5.5734,0
8.89944,6.29529,0
8.62503,5.88006,0
8.52335,7.56687,0
8.20083,8.54529,0
8.24606,5.65798,0
8.98487,5.64424,0
6.92693,7.89027,0
9.90796,7.81149,0
7.99758,5.81398,0
7.23725,8.77002,0
10.7021,9.56221,0
7.19359,4.97566,0
8.1359,7.98173,0
7.95474,5.32918,0
8.07447,8.38184,0
10.0313,6.82948,0
7.88014,6.1739,0
7.84886,7.24008,0
9.14478,6.97465,0
8.86777,9.12439,0
9.46955,5.80328,0
10.0296,6.90726,0
8.22686,8.02368,0
7.71048,8.55038,0
7.66521,6.56671,0
10.8247,6.81684,0
6.13252,4.82408,0
9.35997,7.14752,0
9.11119,7.81684,0
8.89302,7.10558,0
7.86384,6.5454,0
7.21305,7.12495,0
8.48112,7.39337,0
8.11046,7.82711,0
10.4972,7.45236,0
8.628,7.12188,0
8.51949,7.21768,0
10.0099,6.17219,0
9.30177,6.12486,0
10.8434,9.67855,0
8.03219,7.07052,0
9.39207,6.62865,0
8.47044,6.93789,0
6.5448,8.90453,0
9.29924,6.6668,0
8.27911,7.46951,0
7.89076,6.81872,0
8.39685,9.17377,0
8.77611,6.73101,0
6.95722,7.60436,0
7.25212,7.89643,0
9.12549,6.47722,0
10.2843,6.57638,0
7.29619,6.94241,0
6.08951,5.27731,0
8.90474,6.5292,0
8.02408,8.48592,0
9.40889,6.15495,0
8.95494,6.67598,0
9.92806,5.932,0
7.75613,6.73986,0
10.3538,8.11953,0
7.4243,5.48434,0
7.59898,6.44177,0
8.09525,4.73077,0
7.80281,8.05864,0
8.14635,5.69377,0
10.0309,6.80728,0
7.72686,7.19113,0
7.84095,7.13176,0
7.44772,6.56454,0
9.15067,5.7147,0
9.53078,7.51797,0
7.51175,6.67639,0
8.08283,5.90175,0
7.5122,7.20192,0
8.7174,7.62538,0
9.09375,7.58927,0
9.17804,8.36661,0
8.60018,7.79045,0
7.43123,5.78317,0
8.44006,5.35214,0
9.64278,6.78681,0
9.03064,7.68499,0
8.74588,6.99049,0
7.92738,7.00472,0
9.29224,6.49882,0
7.79259,6.37845,0
8.03982,6.82717,0
8.12639,6.30675,0
9.06705,7.66682,0
8.26998,6.76551,0
8.27739,8.52793,0
9.63706,5.64184,0
9.59958,7.20789,0
8.72674,8.66832,0
9.20085,7.63827,0
7.16354,8.44537,0
8.89087,9.03541,0
8.70287,5.71151,0
9.08762,8.44929,0
8.43909,7.3669,0
9.61045,6.19131,0
5.62032,7.49136,0
7.07525,6.93635,0
7.94339,8.62588,0
8.12748,7.22796,0
8.16581,5.40017,0
9.21136,7.26555,0
9.26915,7.43313,0
8.59541,6.25829,0
9.26355,8.40748,0
11.7639,7.25913,0
9.17519,6.66258,0
7.75031,7.23489,0
10.0384,6.78393,0
7.96847,6.14466,0
9.36487,5.99159,0
9.24039,7.22303,0
6.62592,5.86466,0
9.18269,7.05894,0
7.52484,6.38884,0
8.5366,7.01527,0
6.95128,8.59902,0
7.90379,7.09824,0
7.80584,5.69747,0
7.99435,6.3003,0
5.97494,8.05909,0
9.04896,8.18357,0
7.25843,7.08807,0
8.24998,5.0881,0
9.81969,5.95612,0
9.30245,6.29667,0
7.93492,5.88494,0
8.91717,7.59237,0
10.4521,5.39568,0
9.04493,6.4479,0
8.02401,9.55527,0
7.53619,7.9818,0
9.10804,7.02825,0
10.6804,6.3627,0
7.78459,5.69844,0
7.4348,5.55287,0
8.61167,6.11097,0
7.73538,7.15627,0
8.6077,8.71473,0
9.15625,6.14061,0
9.2649,8.03746,0
9.84416,7.39923,0
7.67031,8.01404,0
9.02949,6.51152,0
8.05175,5.28926,0
8.65426,7.47435,0
8.58518,5.36462,0
7.84903,7.40456,0
6.41616,7.43371,0
9.06054,6.70504,0
8.95661,5.40975,0
7.19853,7.3171,0
7.98877,7.14845,0
9.69053,8.94647,0
8.89334,8.88501,0
8.88076,5.16719,0
7.5562,5.84319,0
8.40432,7.25921,0
5.32675,8.11528,0
6.07577,6.22645,0
9.06098,7.07734,0
8.39141,7.00099,0
8.07738,6.7182,0
8.31999,6.51799,0
9.78745,6.71275,0
8.68962,6.23139,0
9.64509,7.12316,0
8.94973,6.21176,0
9.36329,7.13739,0
7.84482,6.15532,0
8.0888,7.94601,0
6.94235,6.39328,0
9.67275,6.61235,0
9.04223,5.83105,0
8.70747,6.64048,0
8.46449,9.13695,0
8.78146,6.62554,0
7.13931,7.7542,0
8.51804,6.62692,0
8.53248,6.24509,0
8.21851,6.03342,0
6.53938,6.12252,0
7.47308,6.76918,0
10.7018,6.19418,0
7.09082,6.9155,0
7.54118,7.81306,0
5.28299,8.54565,0
8.54545,7.77104,0
9.21979,6.08764,0
7.59546,7.63942,0
7.906,5.40203,0
10.3495,7.75746,0
8.55059,6.12442,0
9.25241,8.98261,0
8.24815,7.62028,0
8.25442,5.72898,0
8.44269,6.57143,0
8.91559,6.93574,0
7.74052,8.37287,0
8.34281,6.70082,0
7.17011,7.23756,0
9.5192,7.06958,0
6.89334,6.87812,0
11.6028,7.2559,0
8.38783,8.7864,0
8.6409,8.84493,0
7.25785,7.63792,0
8.34331,7.51079,0
8.03309,7.25429,0
7.30725,7.92825,0
7.4313,7.55917,0
7.32445,7.65113,0
9.24369,5.52354,0
6.92093,6.4341,0
9.65959,8.49486,0
8.15948,7.35193,0
9.43409,6.83069,0
8.37711,8.09127,0
9.86884,7.13019,0
8.5998,7.66223,0
9.47025,6.66731,0
9.85219,7.573,0
9.60265,6.44022,0
8.53394,7.21582,0
8.58191,6.6662,0
8.86444,8.42744,0
8.20941,6.18519,0
8.36243,4.7824,0
8.48125,7.03799,0
9.20453,6.45899,0
9.09037,7.93069,0
8.3869,7.59725,0
6.26839,5.07866,0
9.00308,5.75973,0
9.6681,6.34759,0
10.0283,7.79717,0
8.54587,7.12337,0
9.07605,7.75028,0
9.39752,7.09084,0
8.16822,7.00372,0
8.01013,5.76708,0
8.29108,6.38649,0
8.36119,6.9244,0
7.43593,7.29679,0
8.34717,5.81834,0
9.72653,5.15129,0
7.56578,6.31279,0
7.63768,6.54671,0
8.25224,5.44594,0
10.1579,8.727,0
8.63722,7.72589,0
8.38764,7.35,0
7.71979,5.50953,0
9.25852,7.64623,0
9.54469,8.1992,0
9.30196,6.37181,0
8.39475,6.53425,0
6.99599,6.3592,0
8.33985,7.28056,0
7.82781,7.29174,0
8.55338,6.75978,0
8.45685,8.24851,0
8.5696,7.92494,0
9.69323,8.18714,0
7.92529,6.12967,0
8.11177,5.70572,0
9.46504,6.4141,0
7.3395,7.15857,0
8.35149,7.53037,0
7.81536,6.17869,0
9.22063,6.55934,0
6.80246,6.63981,0
6.34609,6.06534,0
8.56015,6.87179,0
9.46029,7.20192,0
7.10407,7.35468,0
8.33109,6.74988,0
8.81384,7.58416,0
7.98285,4.70037,0
9.89146,8.61972,0
7.71814,6.66232,0
8.28145,7.55048,0
8.40198,7.6874,0
9.36984,8.77919,0
8.08995,7.05821,0
9.02999,6.51986,0
9.79336,5.66705,0
8.96223,5.82141,0
9.30384,6.90856,0
10.7436,7.04474,0
7.59359,8.06345,0
9.69983,7.17241,0
8.09701,6.74048,0
7.16298,6.71305,0
7.87799,4.86964,0
6.61783,7.05598,0
8.38076,5.29074,0
10.5524,6.10422,0
8.34186,5.50393,0
8.41983,7.73088,0
9.20571,6.03005,0
7.04924,6.05239,0
8.93397,7.33568,0
7.09547,5.33121,0
7.11476,7.32389,0
8.80642,9.75591,0
7.82908,6.51697,0
8.52081,3.70125,0
7.63208,6.58869,0
8.69992,6.10185,0
7.59316,7.29686,0
7.19761,7.81707,0
8.36496,7.82921,0
7.12408,5.61424,0
8.92802,7.96533,0
7.09306,7.20563,0
8.54512,4.96117,0
7.1234,5.08041,0
8.33673,8.90347,0
10.5566,6.7292,0
8.19608,8.2112,0
7.32393,6.30745,0
11.6899,5.67802,0
9.5496,6.24547,0
8.37684,6.80955,0
7.24037,8.14743,0
7.49679,4.86014,0
8.80984,6.02449,0
7.75868,6.40256,0
7.39535,6.97954,0
7.37505,9.76569,0
7.48007,6.70605,0
7.84927,7.40995,0
6.93194,8.94141,0
8.70564,7.69047,0
7.25932,6.93836,0
8.31838,6.34651,0
9.811,6.85098,0
9.37814,7.90956,0
7.43614,7.60351,0
7.85324,8.071,0
8.98123,4.89758,0
8.05848,6.92129,0
9.74908,7.15238,0
7.64033,6.93917,0
8.37956,8.616,0
9.46977,7.10926,0
8.56708,7.228,0
9.04932,6.29572,0
9.82647,5.55805,0
7.71741,6.41117,0
8.30619,7.21472,0
8.66647,7.17396,0
8.77145,8.62953,0
8.41634,6.9409,0
6.54239,7.53156,0
7.30073,7.41233,0
9.53622,7.41337,0
7.6188,6.70906,0
7.04311,6.56085,0
7.89453,7.66547,0
9.24991,6.05137,0
8.91942,6.80975,0
9.31332,7.20642,0
10.023,4.1979,0
8.30786,9.55587,0
6.98412,5.93442,0
7.80359,6.99541,0
7.87376,6.82978,0
8.60467,6.6739,0
9.54262,6.39427,0
8.41738,7.48323,0
9.53237,7.36952,0
9.58212,5.6918,0
8.06519,6.73558,0
8.67597,5.41784,0
10.0733,7.8831,0
7.90375,7.07736,0
8.12104,6.30994,0
8.12323,6.64229,0
8.60255,7.54377,0
7.30923,7.92918,0
7.99648,7.77975,0
8.92134,7.85544,0
7.95764,6.39718,0
8.93148,8.19616,0
7.85639,7.36891,0
6.97648,6.20836,0
7.62817,7.73603,0
8.00214,5.46358,0
8.83124,7.87874,0
6.46966,5.53052,0
8.41746,7.60723,0
9.5504,5.52938,0
6.35898,6.82643,0
7.83528,7.58949,0
7.35828,5.29329,0
7.94861,6.62738,0
9.46392,8.2539,0
7.41025,7.83889,0
6.97761,6.19307,0
7.26449,7.85781,0
9.23123,5.82431,0
7.95644,7.67247,0
7.25283,6.16374,0
9.57268,7.74189,0
8.39845,6.41165,0
8.74764,5.71173,0
9.3152,4.99822,0
9.00614,6.12106,0
8.57111,7.17706,0
8.78699,6.83835,0
8.4691,7.83138,0
8.20415,6.58015,0
8.42979,6.39543,0
7.55789,7.16566,0
9.14863,5.82901,0
7.08992,7.04423,0
6.1074,7.26714,0
7.79679,6.73427,0
9.19961,7.04952,0
9.47554,4.5865,0
8.81242,5.33747,0
7.0784,7.30419,0
7.89202,6.97248,0
7.67646,9.07797,0
7.90327,4.52121,0
7.89291,6.13016,0
6.95901,8.34645,0
10.3284,5.29024,0
8.37226,7.816,0
7.86471,6.65909,0
7.47986,8.93404,0
9.72466,6.72279,0
8.42616,8.70272,0
8.48238,7.80318,0
7.26328,5.1585,0
9.48397,4.49928,0
9.50732,5.74262,0
6.3333,6.90816,0
9.8712,4.31336,0
8.85432,7.06975,0
8.47563,7.8193,0
8.46375,6.19968,0
8.68411,8.60109,0
8.33624,5.97286,0
6.93472,7.84563,0
8.80196,8.46103,0
8.88132,6.72561,0
7.30012,6.6749,0
8.85712,5.79618,0
8.71946,7.3568,0
8.29298,7.49513,0
10.2188,8.46222,0
8.26388,6.80155,0
7.97981,5.91987,0
8.30515,6.23462,0
7.81957,5.30982,0
8.06375,9.3302,0
6.96017,4.78203,0
8.58665,7.42332,0
8.39782,6.43473,0
7.48085,6.57034,0
9.55171,5.96851,0
8.46494,5.60481,0
8.51106,7.19186,0
8.39277,7.39476,0
7.59172,6.38285,0
8.47709,6.56405,0
8.43288,8.11608,0
8.50474,7.81376,0
9.99445,7.67453,0
8.40259,7.09798,0
9.69693,8.00225,0
9.14884,7.17696,0
8.41205,6.64627,0
6.83777,6.08632,0
8.73092,8.0211,0
9.79364,7.48835,0
7.29536,7.21652,0
6.04948,8.44951,0
10.4319,6.31225,0
7.19168,8.71675,0
7.19955,6.78302,0
6.13309,6.7489,0
9.73417,7.43422,0
9.22868,5.95851,0
7.86666,7.89381,0
9.67251,7.20069,0
8.06383,8.76496,0
9.8953,6.73872,0
7.76391,6.23911,0
8.92698,6.6615,0
8.99418,5.67737,0
8.28564,6.53975,0
8.15814,7.73689,0
8.46742,6.96952,0
9.85566,7.11036,0
8.41758,6.99672,0
9.04902,5.97622,0
9.05684,8.12887,0
9.63817,6.4345,0
8.15534,6.81261,0
7.41643,7.48919,0
8.81988,7.76944,0
7.6954,5.54974,0
8.10706,5.95802,0
7.50634,8.35289,0
8.13815,5.05431,0
6.50266,7.71216,0
9.02576,5.59584,0
9.3602,6.59169,0
8.65968,7.67313,0
8.8366,9.04227,0
8.61157,5.71464,0
9.54039,7.5672,0
8.36273,5.83223,0
8.24454,6.28372,0
7.91519,7.62317,0
10.8526,5.31983,0
7.17005,6.01458,0
8.75005,5.89074,0
8.35297,6.24502,0
8.38019,6.08759,0
8.60076,5.89397,0
8.15461,7.60177,0
8.48176,6.35042,0
7.30965,7.70224,0
7.99714,8.62059,0
9.31415,7.98071,0
9.57139,7.97739,0
9.66747,6.93775,0
8.10346,8.17413,0
7.94707,8.11387,0
7.42152,8.41804,0
7.27786,8.20519,0
7.91006,8.51543,0
8.61069,7.13378,0
8.42639,6.98213,0
8.73927,7.03102,0
7.07475,7.62298,0
8.27778,5.00843,0
9.0814,5.09297,0
7.04084,6.98102,0
7.69798,7.90232,0
7.47752,6.32171,0
9.55716,6.90742,0
6.76258,7.05282,0
8.11657,6.79401,0
8.53425,6.53503,0
8.77486,8.22328,0
10.1926,8.36101,0
9.04823,4.8967,0
7.19018,5.64298,0
8.9845,6.45697,0
8.38054,6.58585,0
7.41307,7.9817,0
9.42558,6.57435,0
8.46838,7.18784,0
7.48914,5.98756,0
8.08214,7.33813,0
10.2738,8.52984,0
9.77889,6.91821,0
8.66545,7.09493,0
7.53327,7.41058,0
7.63052,8.23356,0
7.7547,7.80934,0
9.29451,7.42882,0
7.43716,6.03424,0
8.79802,7.67983,0
8.07627,6.28062,0
7.05314,5.55926,0
6.66809,7.08013,0
9.02335,4.86881,0
7.93736,7.38904,0
7.12759,6.6466,0
9.1914,7.05871,0
9.33519,7.765,0
