X,Y,Z
8.3918,6.99231,0
8.39186,6.9923,0
8.39189,6.9923,0
8.39193,6.9923,0
8.39196,6.99229,0
8.392,6.99229,0
8.39203,6.99229,0
8.39207,6.99228,0
8.3921,6.99228,0
8.39213,6.99228,0
8.39217,6.99227,0
8.3922,6.99227,0
8.39224,6.99227,0
8.39227,6.99226,0
8.39231,6.99226,0
8.39234,6.99225,0
8.39237,6.99225,0
8.39241,6.99225,0
8.39244,6.99224,0
8.39248,6.99224,0
8.39251,6.99224,0
8.39255,6.99223,0
8.39258,6.99223,0
8.39261,6.99223,0
8.39265,6.99222,0
8.39268,6.99222,0
8.39272,6.99221,0
8.39275,6.99221,0
8.39279,6.99221,0
8.39282,6.9922,0
8.39285,6.9922,0
8.39288,6.9922,0
8.39292,6.99219,0
8.39296,6.99219,0
8.393,6.99218,0
8.39304,6.99218,0
8.39308,6.99218,0
8.39312,6.99217,0
8.39316,6.99217,0
8.3932,6.99216,0
8.39323,6.99216,0
8.39327,6.99216,0
8.39331,6.99215,0
8.39335,6.99215,0
8.39339,6.99214,0
8.39343,6.99214,0
8.39346,6.99214,0
8.3935,6.99213,0
8.39354,6.99213,0
8.39358,6.99212,0
8.39362,6.99212,0
8.39365,6.99212,0
8.39369,6.99211,0
8.39373,6.99211,0
8.39377,6.9921,0
8.39381,6.9921,0
8.39385,6.99209,0
8.39388,6.99209,0
8.39392,6.99209,0
8.39396,6.99208,0
8.394,6.99208,0
8.39404,6.99207,0
8.39407,6.99207,0
8.39411,6.99207,0
8.39415,6.99206,0
8.39418,6.99206,0
8.39422,6.99205,0
8.39426,6.99205,0
8.3943,6.99205,0
8.39434,6.99204,0
8.39438,6.99204,0
8.39441,6.99203,0
8.39445,6.99203,0
8.39449,6.99203,0
8.39453,6.99202,0
8.39457,6.99202,0
8.3946,6.99201,0
8.39464,6.99201,0
8.39469,6.992,0
8.39473,6.992,0
8.39477,6.992,0
8.3948,6.99199,0
8.39484,6.99199,0
8.39488,6.99198,0
8.39492,6.99198,0
8.39496,6.99198,0
8.395,6.99197,0
8.39503,6.99197,0
8.39507,6.99196,0
8.3951,6.99196,0
8.39513,6.99196,0
8.39517,6.99195,0
8.39521,6.99195,0
8.39525,6.99194,0
8.39529,6.99194,0
8.39533,6.99194,0
8.39536,6.99193,0
8.39539,6.99193,0
8.39543,6.99193,0
8.39546,6.99192,0
8.3955,6.99192,0
8.39553,6.99191,0
8.39556,6.99191,0
8.3956,6.99191,0
8.39563,6.9919,0
8.39566,6.9919,0
8.3957,6.9919,0
8.39573,6.99189,0
8.39576,6.99189,0
8.3958,6.99189,0
8.39583,6.99188,0
8.39586,6.99188,0
8.3959,6.99187,0
8.39593,6.99187,0
8.39596,6.99187,0
8.396,6.99186,0
8.39603,6.99186,0
8.39607,6.99186,0
8.3961,6.99185,0
8.39613,6.99185,0
8.39617,6.99185,0
8.3962,6.99184,0
8.39623,6.99184,0
8.39627,6.99183,0
8.39631,6.99183,0
8.39634,6.99183,0
8.39638,6.99182,0
8.39641,6.99182,0
8.39644,6.99182,0
8.39647,6.99181,0
8.3965,6.99181,0
8.39653,6.99181,0
8.39656,6.9918,0
8.3966,6.9918,0
8.39663,6.9918,0
8.39666,6.99179,0
8.3967,6.99179,0
8.39673,6.99178,0
8.39676,6.99178,0
8.3968,6.99178,0
8.39683,6.99177,0
8.39686,6.99177,0
8.3969,6.99177,0
8.39693,6.99176,0
8.39697,6.99176,0
