Time,Pos_X,Output_X
7.203e-06,0.0354987,8
0.0166552,0.0354531,1.45031
0.0333167,0.0353823,1.45378
0.0499829,0.035335,1.45692
0.066653,0.0352817,1.46025
0.083319,0.0352217,1.4636
0.0999811,0.0351432,1.46704
0.116649,0.0350817,1.47025
0.133322,0.0351479,1.4726
0.149982,0.0354367,1.47405
0.166647,0.0360095,1.4747
0.183318,0.0368202,1.47527
0.199981,0.0377799,1.47614
0.216649,0.0387256,1.47802
0.233316,0.0399072,1.47803
0.249979,0.0412047,1.47858
0.266651,0.0436678,1.47109
0.283315,0.0457153,1.47369
0.299984,0.048102,1.47126
0.31665,0.0509512,1.46738
0.333316,0.0542237,1.46309
0.349982,0.057965,1.45781
0.36665,0.0621623,1.45191
0.383316,0.0668491,1.44506
0.399985,0.0720304,1.43743
0.416647,0.0777167,1.42894
0.433317,0.0838921,1.41982
0.449985,0.0905876,1.4097
0.466649,0.09781,1.39871
0.483317,0.109523,1.3572
0.499986,0.11796,1.36716
0.51665,0.126839,1.35409
0.533321,0.136192,1.34014
0.549983,0.145966,1.32578
0.566647,0.156185,1.31061
0.583317,0.166939,1.29411
0.599984,0.178064,1.27792
0.616652,0.189591,1.26095
0.633314,0.201463,1.24373
0.649981,0.213703,1.22582
0.666651,0.226301,1.2074
0.683315,0.239194,1.18882
0.69999,0.259105,1.11943
0.71665,0.272713,1.13917
0.733314,0.286603,1.11906
0.749986,0.300715,1.09897
0.766649,0.315071,1.07823
0.783314,0.329656,1.05724
0.799984,0.344409,1.03635
0.816647,0.359354,1.0149
0.833281,0.37445,0.993295
0.84994,0.389696,0.971718
0.866645,0.405075,0.950118
0.883318,0.420528,0.928282
0.899985,0.443874,0.847766
0.916647,0.459496,0.872468
0.933317,0.475168,0.850482
0.949984,0.49081,0.828909
0.966649,0.506462,0.807032
0.983315,0.522108,0.785215
0.999983,0.537697,0.763764
1.01665,0.553242,0.742215
1.03332,0.568697,0.721023
1.04998,0.584069,0.699872
1.06665,0.599344,0.678935
1.08331,0.614402,0.658921
1.09999,0.629332,0.638613
1.11665,0.651426,0.563599
1.13331,0.665946,0.588441
1.14999,0.680262,0.569329
1.16665,0.69438,0.550327
1.18331,0.708282,0.531771
1.19999,0.721857,0.514357
1.21665,0.735113,0.497243
1.23332,0.748105,0.480227
1.24998,0.760837,0.463505
1.26665,0.773292,0.447243
1.28332,0.785449,0.431569
1.29998,0.797308,0.416233
1.31665,0.80885,0.401494
1.33332,0.825348,0.347632
1.34998,0.835936,0.367737
1.36665,0.846193,0.35488
1.38332,0.856105,0.342598
1.39998,0.865665,0.330809
1.41665,0.874867,0.319594
1.43332,0.883705,0.308949
1.44998,0.892129,0.299136
1.46665,0.900135,0.289989
1.48332,0.907767,0.281134
1.49998,0.915015,0.272827
1.51665,0.921881,0.265093
1.53332,0.92836,0.257968
1.54998,0.934446,0.251414
1.56665,0.942851,0.225085
1.58332,0.947865,0.238116
1.59998,0.952495,0.233622
1.61665,0.956731,0.229799
1.63332,0.960584,0.22644
1.64998,0.964044,0.223736
1.66665,0.967108,0.221641
1.68331,0.969794,0.219973
1.69998,0.972103,0.218879
1.71665,0.974052,0.218206
1.73332,0.975613,0.218264
1.75002,0.976788,0.218923
1.76665,0.9776,0.219931
1.78331,0.978117,0.221004
1.79998,0.978015,0.22495
1.81665,0.977547,0.22792
1.83332,0.97666,0.231843
1.84998,0.975424,0.235868
1.86665,0.973841,0.240412
1.88332,0.971939,0.245264
1.89999,0.969705,0.250707
1.91669,0.967164,0.256432
1.93331,0.964306,0.262817
1.94999,0.961088,0.26987
1.96665,0.957548,0.277268
1.98331,0.953715,0.284913
1.99998,0.947463,0.308963
2.01665,0.942957,0.305447
2.03331,0.938208,0.314213
2.04998,0.933207,0.323436
2.06665,0.927959,0.333038
2.08331,0.922559,0.342285
2.09998,0.916931,0.352362
2.11665,0.911104,0.36259
2.13332,0.905071,0.373181
2.14999,0.898838,0.384052
2.16665,0.892439,0.395005
2.18331,0.885862,0.406309
2.19998,0.879138,0.417656
2.21665,0.868716,0.455906
2.23331,0.861614,0.447093
2.24998,0.854386,0.459148
2.2666,0.84704,0.471521
2.28332,0.839606,0.483437
2.29998,0.832077,0.496006
2.31665,0.824478,0.50839
2.33332,0.816783,0.521091
2.34993,0.809027,0.53387
2.36665,0.801236,0.54614
2.38332,0.793407,0.558898
2.39998,0.785561,0.571505
2.41665,0.777698,0.584117
2.43332,0.765898,0.626176
2.44998,0.758022,0.615277
2.46665,0.750145,0.627888
2.48332,0.742308,0.640257
2.49998,0.734514,0.652578
2.51665,0.726777,0.66472
2.53332,0.719101,0.67682
2.54998,0.711495,0.688741
2.56665,0.703974,0.70048
2.58331,0.696559,0.711975
2.59998,0.689263,0.723221
2.61665,0.68207,0.734449
2.63331,0.674989,0.745467
2.64998,0.664593,0.782031
2.66665,0.657822,0.771598
2.68332,0.651188,0.781845
2.69998,0.64471,0.791835
2.71665,0.638388,0.801562
2.73332,0.632225,0.811067
2.74998,0.626226,0.820322
2.76665,0.620392,0.829341
2.78332,0.614734,0.838035
2.79998,0.609249,0.846533
2.81665,0.60395,0.854668
2.83332,0.598853,0.862419
2.84998,0.59395,0.869974
2.86665,0.586965,0.894288
2.88327,0.582553,0.886938
2.89998,0.578349,0.893256
2.91665,0.574342,0.899559
2.93332,0.570549,0.905396
2.94999,0.566958,0.911001
2.96665,0.563555,0.916439
2.98331,0.560375,0.921319
2.99998,0.557404,0.925994
3.0166,0.554658,0.93029
3.03331,0.552141,0.934096
3.04998,0.549833,0.937834
3.06665,0.547754,0.941089
3.08332,0.545115,0.949914
3.09998,0.543659,0.946525
3.11665,0.542406,0.948706
3.13332,0.541377,0.950437
3.15001,0.540571,0.951828
3.16665,0.539965,0.95308
3.18332,0.53958,0.953861
3.19998,0.539392,0.9545
3.21665,0.539429,0.954625
3.23332,0.539683,0.95448
3.25,0.540125,0.954223
3.26665,0.540778,0.95351
3.28331,0.541614,0.952681
3.29998,0.543256,0.946917
3.31665,0.544572,0.948411
3.33332,0.546083,0.946496
3.34999,0.547787,0.944289
3.36665,0.549655,0.942006
3.38331,0.551708,0.939318
3.39999,0.553915,0.93657
3.41665,0.556298,0.933422
3.43332,0.558853,0.930037
3.44993,0.561549,0.926556
3.46665,0.564464,0.92243
3.48332,0.567508,0.918497
3.49998,0.572354,0.90183
3.51666,0.575734,0.906998
3.53332,0.579247,0.902315
3.54998,0.582891,0.897474
3.56665,0.586634,0.892651
3.58332,0.590525,0.887285
3.59998,0.594535,0.881922
3.61665,0.598647,0.87649
3.63331,0.602858,0.870901
3.64999,0.607138,0.865408
3.66667,0.611504,0.859656
3.68332,0.615929,0.853886
3.69999,0.620428,0.848019
3.71665,0.627291,0.824752
3.73332,0.631932,0.832392
3.74998,0.636625,0.826242
3.76665,0.641347,0.820205
3.78332,0.646109,0.814009
3.79998,0.650888,0.807894
3.81665,0.655697,0.801673
3.83332,0.660513,0.795538
3.84998,0.665316,0.789537
3.86665,0.670132,0.78335
3.88331,0.67494,0.777264
3.89999,0.679749,0.77113
3.91665,0.684556,0.764985
3.93331,0.689339,0.758997
3.94998,0.69647,0.735236
3.96665,0.701171,0.743784
3.98331,0.705844,0.737907
3.99998,0.710472,0.732226
4.01665,0.715063,0.726511
4.03333,0.71961,0.720921
4.04998,0.724099,0.715419
4.06665,0.728535,0.710006
4.08332,0.732931,0.704569
4.09998,0.737289,0.699135
4.11665,0.741576,0.693991
4.13332,0.745781,0.689045
4.14998,0.749908,0.684149
4.16665,0.755938,0.664518
4.18332,0.75985,0.672166
4.19998,0.763667,0.667796
4.21665,0.767334,0.663981
4.23331,0.770908,0.659948
4.24998,0.77438,0.656112
4.26665,0.777752,0.652399
4.28331,0.781019,0.648859
4.29998,0.784181,0.64548
4.31665,0.787235,0.642251
4.33331,0.790155,0.639386
4.34998,0.792941,0.636709
4.36665,0.795614,0.634054
4.38331,0.799412,0.622286
4.39998,0.8018,0.627836
4.41665,0.804072,0.625774
4.43332,0.806224,0.623918
4.44998,0.808259,0.622209
4.46665,0.810148,0.620885
4.48332,0.81192,0.619563
4.49998,0.813573,0.618419
4.51665,0.815105,0.617468
4.53332,0.816519,0.616662
4.54998,0.817813,0.616057
4.56665,0.81899,0.6156
4.58331,0.820047,0.615332
4.59998,0.821255,0.613212
4.61665,0.821922,0.616052
4.63331,0.822476,0.616493
4.64998,0.822923,0.617056
4.66665,0.823259,0.617812
4.68332,0.823489,0.618682
4.69999,0.823611,0.619741
4.71665,0.823574,0.621341
4.73332,0.823439,0.622718
4.74998,0.823201,0.624282
4.76665,0.822868,0.625939
4.78332,0.822436,0.627771
4.79998,0.821907,0.629746
4.81665,0.820947,0.634359
4.83332,0.820176,0.634979
4.84998,0.819311,0.637449
4.86665,0.818359,0.64
4.88332,0.81733,0.64261
4.89998,0.81622,0.645377
4.91665,0.815029,0.648259
4.93331,0.81377,0.651179
4.94998,0.812436,0.654246
4.96665,0.811018,0.657507
4.98331,0.809534,0.660771
4.99998,0.807984,0.66412
5.01665,0.806381,0.667481
5.03331,0.80387,0.677357
5.04998,0.802134,0.675963
5.06665,0.800347,0.67961
5.08332,0.798531,0.683176
5.09998,0.796682,0.68682
5.11665,0.794791,0.690597
5.13332,0.792869,0.694349
5.14998,0.79091,0.698197
5.16665,0.788926,0.702032
5.18331,0.786913,0.70593
5.19998,0.784874,0.709859
5.21665,0.782766,0.714161
5.23332,0.780589,0.718558
5.24998,0.77731,0.73083
5.26664,0.775116,0.72836
5.28332,0.772923,0.732391
5.29998,0.770728,0.736457
5.31665,0.768535,0.740503
5.33332,0.766351,0.744497
5.34998,0.764174,0.748507
5.36665,0.762012,0.752451
5.38331,0.759862,0.756398
5.39998,0.757729,0.760306
5.41665,0.755617,0.764146
5.43331,0.753527,0.767978
5.44999,0.751464,0.771731
5.46665,0.748409,0.783105
5.48331,0.746409,0.78061
5.49998,0.744443,0.784207
5.51665,0.742511,0.787753
5.53332,0.740619,0.791215
5.54998,0.738767,0.794623
5.56665,0.736957,0.797957
5.58332,0.735191,0.801218
5.59998,0.733533,0.803951
5.61665,0.73192,0.80699
5.63332,0.730353,0.809953
5.64998,0.728834,0.812845
5.66665,0.727367,0.815648
5.68332,0.725263,0.823538
5.69998,0.723927,0.821845
5.71665,0.722677,0.824131
5.73331,0.721482,0.826521
5.74998,0.720345,0.828803
5.76665,0.719266,0.831012
5.78331,0.718247,0.833116
5.79998,0.717291,0.835116
5.81665,0.716395,0.837044
5.83331,0.715562,0.838854
5.84998,0.714825,0.840343
5.86665,0.714151,0.841924
5.88331,0.713542,0.8434
5.89998,0.712744,0.846683
5.91665,0.712296,0.846221
5.93332,0.71191,0.847387
5.94998,0.71159,0.848427
5.96665,0.711326,0.849451
5.98332,0.711129,0.85031
5.99998,0.710999,0.851065
6.01664,0.71093,0.851765
6.03332,0.710928,0.85233
6.04998,0.710986,0.852845
6.06665,0.71111,0.853228
6.08332,0.7113,0.853509
6.09998,0.71172,0.852457
6.11665,0.712081,0.853237
6.13331,0.712497,0.853234
6.14998,0.712975,0.853106
6.16665,0.713508,0.852937
6.18331,0.7141,0.852644
6.19998,0.714751,0.852264
6.21665,0.715466,0.851757
6.23332,0.716251,0.851116
6.24998,0.717083,0.850523
6.26664,0.717968,0.849816
6.28332,0.718906,0.849035
6.29998,0.720396,0.844419
6.31668,0.721453,0.846375
6.33332,0.722583,0.845144
6.34998,0.72379,0.843809
6.36665,0.725031,0.842661
6.38332,0.726311,0.84142
6.39998,0.72763,0.840119
6.41665,0.728978,0.838824
6.43332,0.730362,0.837437
6.44999,0.731773,0.836062
6.46665,0.733229,0.834487
6.48331,0.73473,0.832861
6.49999,0.736251,0.831345
6.51665,0.737798,0.829733
6.53332,0.740156,0.822203
6.54999,0.741755,0.825225
6.56665,0.743368,0.823581
6.58331,0.744999,0.821876
6.59999,0.74667,0.819982
6.61665,0.748347,0.818268
6.63332,0.750034,0.816509
6.64998,0.751725,0.814783
6.66665,0.753423,0.813017
6.68332,0.755128,0.811245
6.69998,0.75683,0.809513
6.71665,0.758534,0.80776
6.73332,0.760231,0.806053
6.74998,0.761928,0.804307
6.76665,0.764465,0.79625
6.78331,0.766148,0.799628
6.79998,0.767825,0.797927
6.81665,0.76949,0.796283
6.83332,0.771145,0.794617
6.84998,0.772791,0.792962
6.86665,0.774425,0.791338
6.88331,0.776045,0.789737
6.89998,0.777646,0.788203
6.91666,0.77923,0.786668
6.93331,0.780793,0.785173
6.94998,0.782336,0.783712
6.96665,0.783856,0.782291
6.98332,0.786085,0.775409
6.99998,0.787544,0.778555
7.01665,0.788975,0.777283
7.03332,0.79038,0.776031
7.04993,0.791756,0.774809
7.06665,0.793104,0.773694
7.08332,0.794425,0.772552
7.09998,0.795693,0.771637
7.11665,0.796932,0.770636
7.13331,0.798139,0.769695
7.14998,0.799314,0.768793
7.16665,0.800456,0.767941
7.18331,0.801565,0.767148
7.19998,0.803164,0.762466
7.21665,0.804141,0.765382
7.23331,0.805042,0.76514
7.24998,0.805911,0.764679
7.26665,0.806749,0.76425
7.28331,0.807555,0.763877
7.29998,0.808327,0.763562
7.31665,0.809067,0.763286
7.33332,0.809772,0.763072
7.34998,0.81043,0.762995
7.36665,0.811055,0.762891
7.38332,0.811646,0.762839
7.39998,0.812469,0.760832
7.41665,0.812976,0.762601
7.43331,0.813448,0.762717
7.44998,0.813887,0.762884
7.46665,0.814329,0.76282
7.48332,0.814771,0.762775
7.49998,0.815176,0.763004
7.51665,0.815544,0.763292
7.53332,0.815877,0.763622
7.54998,0.816173,0.764009
7.56664,0.816433,0.764447
7.58331,0.816658,0.764924
7.59999,0.816829,0.765614
7.61663,0.816993,0.76601
7.63332,0.817064,0.767081
7.64998,0.817104,0.767808
7.66665,0.817115,0.768582
7.68332,0.817096,0.769399
7.69998,0.817049,0.770245
7.71669,0.816985,0.771052
7.73332,0.816905,0.771882
7.74998,0.816796,0.772826
7.76666,0.816659,0.773811
