Time,Pos_Z,Output_Z
7.407e-06,-4.9563,-17866.5
0.000154352,-4.9563,-1.04374
0.000266062,-4.9563,-1.04377
0.000371807,-4.9563,-1.0438
0.000476034,-4.9563,-1.04382
0.000580179,-4.9563,-1.04385
0.000684445,-4.9563,-1.04388
0.000788046,-4.9563,-1.0439
0.000892271,-4.9563,-1.04393
0.000995154,-4.9563,-1.04396
0.0010989,-4.9563,-1.04399
0.00120099,-4.9563,-1.04401
0.00130442,-4.9563,-1.04404
0.00140693,-4.9563,-1.04407
0.00150998,-4.9563,-1.04409
0.00161236,-4.9563,-1.04412
0.00171521,-4.9563,-1.04415
0.00181728,-4.9563,-1.04417
0.00195121,-4.9563,-1.04421
0.00205731,-4.9563,-1.04424
0.00216208,-4.9563,-1.04426
0.00226431,-4.9563,-1.04429
0.00236804,-4.9563,-1.04432
0.00246933,-4.9563,-1.04434
0.00257233,-4.9563,-1.04437
0.0026736,-4.9563,-1.0444
0.0027763,-4.9563,-1.04442
0.00287855,-4.9563,-1.04445
0.00298124,-4.9563,-1.04448
0.00308316,-4.9563,-1.0445
0.00318583,-4.9563,-1.04453
0.0032873,-4.9563,-1.04456
0.00338991,-4.9563,-1.04458
0.00349104,-4.9563,-1.04461
0.00359444,-4.9563,-1.04464
0.00369549,-4.9563,-1.04466
0.00379816,-4.9563,-1.04469
0.00390662,-4.9563,-1.04472
0.00403534,-4.9563,-1.04475
0.00416077,-4.9563,-1.04478
0.00426778,-4.9563,-1.04481
0.00437168,-4.9563,-1.04484
0.00447402,-4.9563,-1.04487
0.00457804,-4.9563,-1.04489
0.00468014,-4.9563,-1.04492
0.00478372,-4.9563,-1.04495
0.00488613,-4.9563,-1.04497
0.00498967,-4.9563,-1.045
0.00509208,-4.9563,-1.04503
0.00519491,-4.9563,-1.04505
0.00529697,-4.9563,-1.04508
0.00540023,-4.9563,-1.04511
0.00550222,-4.9563,-1.04513
0.00560531,-4.9563,-1.04516
0.00570725,-4.9563,-1.04519
0.00581008,-4.9563,-1.04522
0.0059223,-4.9563,-1.04524
0.0060274,-4.9563,-1.04527
0.00612993,-4.9563,-1.0453
0.0062332,-4.9563,-1.04533
0.00633484,-4.9563,-1.04535
0.00643791,-4.9563,-1.04538
0.00653939,-4.9563,-1.04541
0.00664188,-4.9563,-1.04543
0.00674359,-4.9563,-1.04546
0.00684626,-4.9563,-1.04549
0.00694805,-4.9563,-1.04551
0.00705066,-4.9563,-1.04554
0.00715203,-4.9563,-1.04557
0.00725448,-4.9563,-1.04559
0.00735596,-4.9563,-1.04562
0.00745883,-4.9563,-1.04565
0.0075602,-4.9563,-1.04567
0.0076631,-4.9563,-1.0457
0.0077652,-4.9563,-1.04573
0.00787042,-4.9563,-1.04575
0.00799435,-4.9563,-1.04579
0.00808648,-4.95646,-0.601339
0.00821002,-4.95646,-1.04568
0.00834056,-4.95646,-1.04571
0.00844876,-4.95646,-1.04574
0.0085563,-4.95646,-1.04577
0.00866085,-4.95646,-1.0458
0.00876497,-4.95646,-1.04582
0.00886797,-4.95646,-1.04585
0.00897091,-4.95646,-1.04588
0.00907372,-4.95646,-1.0459
0.00917659,-4.95646,-1.04593
0.00927984,-4.95646,-1.04596
0.00938283,-4.95646,-1.04598
0.00948577,-4.95646,-1.04601
0.00958855,-4.95646,-1.04604
0.00969164,-4.95646,-1.04606
0.00979467,-4.95646,-1.04609
0.00985952,-4.95646,-1.04611
0.00996826,-4.95646,-1.04614
0.0100723,-4.95646,-1.04616
0.0101753,-4.95646,-1.04619
0.0102782,-4.95646,-1.04622
0.0103809,-4.95646,-1.04624
0.0104837,-4.95646,-1.04627
0.0105861,-4.95646,-1.0463
0.0106892,-4.95646,-1.04632
0.0107916,-4.95646,-1.04635
0.010982,-4.95646,-1.0464
0.0110919,-4.95646,-1.04643
0.0111957,-4.95646,-1.04646
0.0112987,-4.95646,-1.04648
0.0114012,-4.95646,-1.04651
0.0115035,-4.95646,-1.04654
0.0116062,-4.95646,-1.04656
0.0117083,-4.95646,-1.04659
0.0118109,-4.95646,-1.04662
0.0119136,-4.95646,-1.04664
0.0120234,-4.95646,-1.04667
0.0121381,-4.95646,-1.0467
0.0122623,-4.95646,-1.04674
0.0123753,-4.95646,-1.04676
0.0124858,-4.95646,-1.04679
0.0125963,-4.95646,-1.04682
0.012708,-4.95646,-1.04685
0.0128185,-4.95646,-1.04688
0.0129302,-4.95646,-1.04691
0.0130412,-4.95646,-1.04694
0.0131516,-4.95646,-1.04697
0.013263,-4.95646,-1.047
0.0133736,-4.95646,-1.04703
0.0134846,-4.95646,-1.04705
0.0135967,-4.95646,-1.04708
0.0137087,-4.95646,-1.04711
0.0138199,-4.95646,-1.04714
0.0139416,-4.95646,-1.04717
0.0140528,-4.95646,-1.0472
0.0141633,-4.95646,-1.04723
0.0142745,-4.95646,-1.04726
0.0143955,-4.95646,-1.04729
0.0145232,-4.95646,-1.04733
0.0146538,-4.95646,-1.04736
0.0147751,-4.95646,-1.04739
0.0148818,-4.95646,-1.04742
0.0149859,-4.95646,-1.04745
0.0150896,-4.95646,-1.04747
0.0151933,-4.95646,-1.0475
0.0152971,-4.95646,-1.04753
0.0154004,-4.95646,-1.04755
0.0155043,-4.95646,-1.04758
0.01562,-4.95646,-1.04761
0.0157239,-4.95646,-1.04764
0.0158276,-4.95646,-1.04767
0.0159358,-4.95646,-1.04769
0.0160851,-4.95662,-0.775509
0.0162136,-4.95662,-1.0476
0.0163234,-4.95662,-1.04763
0.0164276,-4.95662,-1.04766
0.0165305,-4.95662,-1.04769
0.0166335,-4.95662,-1.04771
0.016759,-4.95662,-1.04775
0.0168622,-4.95662,-1.04777
0.0169646,-4.95662,-1.0478
0.0170666,-4.95662,-1.04783
0.0171692,-4.95662,-1.04785
0.0172717,-4.95662,-1.04788
0.0173748,-4.95662,-1.04791
0.0174773,-4.95662,-1.04793
0.0175795,-4.95662,-1.04796
0.0176822,-4.95662,-1.04799
0.0177843,-4.95662,-1.04801
0.017855,-4.95662,-1.04803
0.0179597,-4.95662,-1.04806
0.0180616,-4.95662,-1.04809
0.0181644,-4.95662,-1.04811
0.0182655,-4.95662,-1.04814
0.0183681,-4.95662,-1.04817
0.0184699,-4.95662,-1.04819
0.0185727,-4.95662,-1.04822
0.0186739,-4.95662,-1.04825
0.0187762,-4.95662,-1.04827
0.0188771,-4.95662,-1.0483
0.0189794,-4.95662,-1.04833
0.0190807,-4.95662,-1.04835
0.0191828,-4.95662,-1.04838
0.0192842,-4.95662,-1.0484
0.0193879,-4.95662,-1.04843
0.0194889,-4.95662,-1.04846
0.0195914,-4.95662,-1.04848
0.0196926,-4.95662,-1.04851
0.0197949,-4.95662,-1.04854
0.019897,-4.95662,-1.04856
0.0200191,-4.95662,-1.0486
0.0201497,-4.95662,-1.04863
0.0202691,-4.95662,-1.04866
0.0203747,-4.95662,-1.04869
0.020491,-4.95662,-1.04872
0.0205962,-4.95662,-1.04875
0.0207001,-4.95662,-1.04877
0.0208031,-4.95662,-1.0488
0.0209061,-4.95662,-1.04883
0.0210245,-4.95662,-1.04886
0.0211469,-4.95662,-1.04889
0.0212856,-4.95662,-1.04893
0.0214265,-4.95662,-1.04896
0.0215404,-4.95662,-1.04899
0.0216532,-4.95662,-1.04902
0.0217713,-4.95662,-1.04905
0.0218589,-4.95662,-1.04908
0.0219785,-4.95662,-1.04911
0.0221208,-4.95662,-1.04914
0.0223032,-4.95662,-1.04919
0.0224281,-4.95662,-1.04922
0.0225472,-4.95662,-1.04926
0.0226595,-4.95662,-1.04928
0.0227662,-4.95662,-1.04931
0.0228852,-4.95662,-1.04934
0.0230004,-4.95662,-1.04937
0.0231065,-4.95662,-1.0494
0.0232193,-4.95662,-1.04943
0.0233236,-4.95662,-1.04946
0.0234262,-4.95662,-1.04948
0.0235286,-4.95662,-1.04951
0.0236306,-4.95662,-1.04954
0.0237326,-4.95662,-1.04956
0.0238336,-4.95662,-1.04959
0.023935,-4.95662,-1.04962
0.0240394,-4.95662,-1.04964
0.024109,-4.95678,-0.468453
0.0242184,-4.95678,-1.04953
0.0243391,-4.95678,-1.04956
0.024447,-4.95678,-1.04959
0.0245498,-4.95678,-1.04962
0.024652,-4.95678,-1.04964
0.0247549,-4.95678,-1.04967
0.024857,-4.95678,-1.0497
0.024959,-4.95678,-1.04972
0.0250609,-4.95678,-1.04975
0.0251622,-4.95678,-1.04978
0.025264,-4.95678,-1.0498
0.0253661,-4.95678,-1.04983
0.0254681,-4.95678,-1.04986
0.0255702,-4.95678,-1.04988
0.0256721,-4.95678,-1.04991
0.0257739,-4.95678,-1.04994
0.0258563,-4.95678,-1.04996
0.0259612,-4.95678,-1.04998
0.0260632,-4.95678,-1.05001
0.026166,-4.95678,-1.05004
0.0262694,-4.95678,-1.05006
0.0263718,-4.95678,-1.05009
0.0264742,-4.95678,-1.05012
0.0265768,-4.95678,-1.05015
0.0266794,-4.95678,-1.05017
0.0267817,-4.95678,-1.0502
0.0268886,-4.95678,-1.05023
0.0270135,-4.95678,-1.05026
0.0271385,-4.95678,-1.05029
0.0272466,-4.95678,-1.05032
0.0273497,-4.95678,-1.05035
0.0274522,-4.95678,-1.05037
0.0275561,-4.95678,-1.0504
0.0276596,-4.95678,-1.05043
0.0277627,-4.95678,-1.05045
0.0278662,-4.95678,-1.05048
0.0279681,-4.95678,-1.05051
0.0280787,-4.95678,-1.05054
0.0281869,-4.95678,-1.05057
0.0282893,-4.95678,-1.05059
0.0283985,-4.95678,-1.05062
0.0285245,-4.95678,-1.05065
0.0286344,-4.95678,-1.05068
0.0287455,-4.95678,-1.05071
0.0288529,-4.95678,-1.05074
0.0289602,-4.95678,-1.05077
0.0290683,-4.95678,-1.05079
0.0291766,-4.95678,-1.05082
0.0292846,-4.95678,-1.05085
0.0293923,-4.95678,-1.05088
0.0295001,-4.95678,-1.05091
0.0296079,-4.95678,-1.05094
0.0297153,-4.95678,-1.05096
0.0298228,-4.95678,-1.05099
0.0299386,-4.95678,-1.05102
0.0300465,-4.95678,-1.05105
0.0301533,-4.95678,-1.05108
0.0302599,-4.95678,-1.05111
0.030367,-4.95678,-1.05113
0.0304734,-4.95678,-1.05116
0.0305805,-4.95678,-1.05119
0.0306869,-4.95678,-1.05122
0.0307941,-4.95678,-1.05124
0.0309007,-4.95678,-1.05127
0.0310077,-4.95678,-1.0513
0.0311143,-4.95678,-1.05133
0.0312211,-4.95678,-1.05136
0.0313286,-4.95678,-1.05138
0.0314438,-4.95678,-1.05141
0.0315509,-4.95678,-1.05144
0.0316573,-4.95678,-1.05147
0.031764,-4.95678,-1.0515
0.0318706,-4.95678,-1.05153
0.0319778,-4.95678,-1.05155
0.0320948,-4.95678,-1.05158
0.032176,-4.95695,-0.552271
0.0322899,-4.95695,-1.05147
0.032425,-4.95695,-1.05151
0.0325461,-4.95695,-1.05154
0.0326647,-4.95695,-1.05157
0.0327819,-4.95695,-1.0516
0.0328991,-4.95695,-1.05163
0.0330162,-4.95695,-1.05166
0.0331329,-4.95695,-1.05169
0.0332508,-4.95695,-1.05172
0.0333681,-4.95695,-1.05176
0.0334854,-4.95695,-1.05179
0.0336029,-4.95695,-1.05182
0.0337198,-4.95695,-1.05185
0.0338365,-4.95695,-1.05188
0.0339624,-4.95695,-1.05191
0.0340801,-4.95695,-1.05194
0.034197,-4.95695,-1.05197
0.0343159,-4.95695,-1.052
0.0344327,-4.95695,-1.05203
0.0345511,-4.95695,-1.05206
0.0346697,-4.95695,-1.05209
0.0347866,-4.95695,-1.05212
0.0349032,-4.95695,-1.05216
0.0350195,-4.95695,-1.05219
0.0351358,-4.95695,-1.05222
0.0352525,-4.95695,-1.05225
0.0353692,-4.95695,-1.05228
0.035487,-4.95695,-1.05231
0.0356037,-4.95695,-1.05234
0.0357217,-4.95695,-1.05237
0.0358383,-4.95695,-1.0524
0.0359549,-4.95695,-1.05243
0.0360732,-4.95695,-1.05246
0.0361973,-4.95695,-1.05249
0.0363284,-4.95695,-1.05253
0.0364454,-4.95695,-1.05256
0.0365643,-4.95695,-1.05259
0.0366759,-4.95695,-1.05262
0.0367852,-4.95695,-1.05265
0.0368947,-4.95695,-1.05267
0.0370056,-4.95695,-1.0527
0.037116,-4.95695,-1.05273
0.0372256,-4.95695,-1.05276
0.0373349,-4.95695,-1.05279
0.0374607,-4.95695,-1.05282
0.0375744,-4.95695,-1.05285
0.0376837,-4.95695,-1.05288
0.0377938,-4.95695,-1.05291
0.0379417,-4.95695,-1.05295
0.0380549,-4.95695,-1.05298
0.0381642,-4.95695,-1.05301
0.0382745,-4.95695,-1.05303
0.0383847,-4.95695,-1.05306
0.0384953,-4.95695,-1.05309
0.0386034,-4.95695,-1.05312
0.0387119,-4.95695,-1.05315
0.0388203,-4.95695,-1.05318
0.0389303,-4.95695,-1.05321
0.0390396,-4.95695,-1.05323
0.0391491,-4.95695,-1.05326
0.039259,-4.95695,-1.05329
0.0393689,-4.95695,-1.05332
0.0394778,-4.95695,-1.05335
0.0395862,-4.95695,-1.05338
0.0396949,-4.95695,-1.0534
0.0398038,-4.95695,-1.05343
0.0399127,-4.95695,-1.05346
0.0400258,-4.95695,-1.05349
0.0401312,-4.9571,-0.684487
0.0402427,-4.9571,-1.05339
0.0403519,-4.9571,-1.05342
0.0404613,-4.9571,-1.05345
0.0405698,-4.9571,-1.05348
0.040679,-4.9571,-1.05351
0.0407884,-4.9571,-1.05353
0.04089,-4.9571,-1.05356
0.0410031,-4.9571,-1.05359
0.0411065,-4.9571,-1.05362
0.0412089,-4.9571,-1.05364
0.041311,-4.9571,-1.05367
0.0414124,-4.9571,-1.0537
0.0415143,-4.9571,-1.05372
0.0416159,-4.9571,-1.05375
0.0417176,-4.9571,-1.05378
0.0418193,-4.9571,-1.0538
0.0419296,-4.9571,-1.05383
0.0420324,-4.9571,-1.05386
0.0421344,-4.9571,-1.05389
0.0422361,-4.9571,-1.05391
0.0423376,-4.9571,-1.05394
0.042439,-4.9571,-1.05396
0.0425401,-4.9571,-1.05399
0.0426412,-4.9571,-1.05402
0.0427105,-4.9571,-1.05404
0.0428271,-4.9571,-1.05407
0.0429505,-4.9571,-1.0541
