Time,Pos_X,Output_X
7.45e-07,0.0359448,1.7353
0.016658,0.0357521,1.73565
0.0333228,0.035541,1.73603
0.0499849,0.035313,1.73644
0.0666578,0.0350797,1.73686
0.083326,0.0347182,1.73751
0.0999863,0.0344595,1.73797
0.116608,0.0342051,1.73843
0.133323,0.0340157,1.73877
0.149986,0.0339664,1.73886
0.166652,0.0341657,1.7385
0.183323,0.0345823,1.73775
0.199985,0.0352323,1.73658
0.216652,0.0360126,1.73518
0.233322,0.0370698,1.73327
0.249986,0.0382448,1.73116
0.266655,0.0395916,1.72874
0.283319,0.0412676,1.72572
0.299986,0.0431654,1.7223
0.316657,0.0467932,1.71577
0.333323,0.0497215,1.7105
0.34999,0.0531641,1.7043
0.366654,0.0570814,1.69725
0.383319,0.0615251,1.68925
0.399988,0.0665366,1.68023
0.416653,0.0721424,1.67014
0.433319,0.0783181,1.65903
0.449989,0.0850736,1.64687
0.466653,0.0924269,1.63363
0.483322,0.100341,1.61939
0.499987,0.108843,1.60408
0.516652,0.117887,1.5878
0.533323,0.132567,1.56138
0.549987,0.143009,1.54258
0.56666,0.153989,1.52282
0.583322,0.165502,1.5021
0.599987,0.177473,1.48055
0.616654,0.18994,1.45811
0.633322,0.202835,1.4349
0.650014,0.216187,1.41086
0.666655,0.230029,1.38595
0.683319,0.244238,1.36037
0.699989,0.258845,1.33408
0.716606,0.273782,1.30719
0.73332,0.289075,1.27967
0.749988,0.304709,1.25152
0.766652,0.328658,1.20842
0.783319,0.345062,1.17889
0.799988,0.361737,1.14887
0.816653,0.378648,1.11843
0.833322,0.395725,1.08769
0.849986,0.412992,1.05661
0.866652,0.430431,1.02522
0.883323,0.44797,0.993654
0.899986,0.465634,0.961859
0.916653,0.483386,0.929905
0.933321,0.501212,0.897818
0.949986,0.519093,0.865633
0.966658,0.53696,0.833473
0.98332,0.56376,0.785233
0.999986,0.581565,0.753183
1.01666,0.599322,0.72122
1.03332,0.616964,0.689464
1.04999,0.634506,0.657889
1.06666,0.651933,0.626521
1.08332,0.669187,0.595464
1.09999,0.686284,0.564688
1.11661,0.703172,0.534291
1.13332,0.719862,0.504249
1.14999,0.736333,0.474601
1.16665,0.752473,0.445549
1.18332,0.776097,0.403025
1.19999,0.791479,0.375337
1.21665,0.806563,0.348186
1.23332,0.82131,0.321642
1.24999,0.835726,0.295693
1.26665,0.849792,0.270375
1.28332,0.863467,0.245759
1.29999,0.876754,0.221842
1.31666,0.889632,0.198662
1.33332,0.902104,0.176212
1.34999,0.914152,0.154527
1.36664,0.925756,0.133639
1.38332,0.942319,0.103825
1.39999,0.952783,0.0849914
1.41666,0.962668,0.0671972
1.43332,0.972075,0.0502645
1.44999,0.981,0.0342004
1.46665,0.989428,0.0190298
1.48332,0.997359,0.00475416
1.49999,1.00478,0
1.51665,1.0117,0
1.53332,1.01804,0
1.54999,1.02379,0
1.56665,1.02904,0
1.58332,1.03376,0
1.59999,1.03986,0
1.61666,1.04328,0
1.63332,1.04618,0
1.64999,1.04855,0
1.66666,1.0504,0
1.68327,1.05174,0
1.69999,1.05257,0
1.71666,1.0529,0
1.73332,1.05272,0
1.74999,1.05203,0
1.76665,1.05086,0
1.78332,1.0492,0
1.79999,1.04704,0
1.81665,1.0444,0
1.83332,1.03957,0
1.84999,1.03579,0
1.86665,1.03156,0
1.88332,1.02693,0
1.89999,1.02186,0
1.91665,1.01633,0
1.93332,1.0104,0
1.94999,1.00407,0
1.96665,0.997404,0.00467327
1.98332,0.990368,0.017338
1.99999,0.983008,0.0305852
2.01666,0.975308,0.0444458
2.03332,0.967274,0.0589065
2.04999,0.958895,0.0739885
2.06666,0.94577,0.0976133
2.08332,0.936686,0.113965
2.09999,0.92733,0.130806
2.11666,0.917738,0.148071
2.13332,0.907902,0.165777
2.14999,0.89783,0.183906
2.16665,0.887542,0.202425
2.18332,0.877027,0.221352
2.19999,0.866341,0.240586
2.21666,0.855478,0.26014
2.23334,0.844445,0.279998
2.24999,0.833284,0.300089
2.26665,0.821982,0.320432
2.28332,0.804855,0.351261
2.29999,0.793343,0.371982
2.31665,0.78176,0.392833
2.33332,0.770095,0.41383
2.34999,0.75836,0.434952
2.36666,0.746599,0.456122
2.38332,0.7348,0.477361
2.39998,0.723,0.498599
2.41666,0.711153,0.519924
2.43332,0.699276,0.541303
2.44999,0.687449,0.562592
2.46666,0.675665,0.583803
2.48332,0.658126,0.615374
2.49999,0.646533,0.636241
2.51665,0.63505,0.65691
2.53332,0.623667,0.6774
2.54999,0.612399,0.697682
2.56665,0.601282,0.717692
2.58332,0.590318,0.737428
2.59999,0.579527,0.756851
2.61665,0.568913,0.775956
2.63332,0.558488,0.794721
2.64999,0.548272,0.81311
2.66665,0.538327,0.831011
2.68332,0.528666,0.848401
2.69999,0.519236,0.865375
2.71666,0.50555,0.89001
2.73332,0.496745,0.905858
2.74999,0.488208,0.921225
2.76666,0.479946,0.936096
2.78332,0.471969,0.950455
2.79999,0.46431,0.964242
2.81666,0.45695,0.97749
2.83332,0.449898,0.990183
2.84999,0.443155,1.00232
2.86665,0.436733,1.01388
2.88332,0.430628,1.02487
2.89999,0.424856,1.03526
2.91666,0.419485,1.04493
2.93332,0.412133,1.05816
2.94999,0.407662,1.06621
2.96665,0.403523,1.07366
2.98332,0.399733,1.08048
2.99998,0.396278,1.0867
