Time,Pos_Z,Output_Z
1.019e-06,-5.04905,-9.50946
0.0166954,-5.04788,-9.52118
0.0333667,-5.04713,-9.52869
0.0500309,-5.04639,-9.53606
0.0666962,-5.04567,-9.54327
0.0833608,-5.04497,-9.55028
0.0999885,-5.04474,-9.55263
0.116696,-5.04579,-9.54214
0.133359,-5.04843,-9.51569
0.150025,-5.05277,-9.47234
0.166697,-5.05882,-9.41185
0.183358,-5.06656,-9.33437
0.199986,-5.07597,-9.24029
0.216691,-5.09319,-9.06814
0.233358,-5.10668,-8.93315
0.250029,-5.12184,-8.78162
0.266692,-5.13861,-8.61385
0.283365,-5.15706,-8.42939
0.299989,-5.17711,-8.22888
0.316693,-5.19881,-8.01193
0.333363,-5.22216,-7.7784
0.350025,-5.24715,-7.52854
0.366697,-5.27381,-7.26192
0.383363,-5.30209,-6.97906
0.399982,-5.33206,-6.67943
0.416696,-5.36369,-6.36314
0.433359,-5.41424,-5.85764
0.450032,-5.45,-5.50001
0.466697,-5.48731,-5.12693
0.483361,-5.52605,-4.73951
0.499987,-5.56602,-4.33979
0.516693,-5.60712,-3.92877
0.533359,-5.64917,-3.50829
0.550031,-5.69203,-3.07967
0.566692,-5.73561,-2.64386
0.583365,-5.7798,-2.202
0.599988,-5.82454,-1.75457
0.616696,-5.86975,-1.30247
0.633362,-5.93809,-0.619097
0.650025,-5.98339,-0.166121
0.666694,-6.02787,0.278673
0.683359,-6.071,0.710025
0.699986,-6.11241,1.12411
0.716696,-6.15188,1.51882
0.733358,-6.18929,1.89289
0.750028,-6.22464,2.24644
0.766692,-6.25785,2.57853
0.783362,-6.28905,2.89048
0.799999,-6.3182,3.18201
0.816694,-6.34525,3.45249
0.833362,-6.37027,3.70274
0.850025,-6.4039,4.03895
0.866692,-6.42376,4.23759
0.883364,-6.44149,4.41493
0.899982,-6.4572,4.57201
0.916691,-6.47084,4.70838
0.933363,-6.48236,4.82356
0.950028,-6.49181,4.9181
0.966698,-6.49913,4.9913
0.983362,-6.50444,5.04438
0.999983,-6.50775,5.07745
1.0167,-6.50909,5.09086
1.03336,-6.50858,5.08579
1.05003,-6.50626,5.06256
1.06669,-6.50228,5.02278
1.08336,-6.49328,4.93284
1.09999,-6.48543,4.8543
1.11669,-6.47616,4.76164
1.13336,-6.46555,4.65554
1.15003,-6.4537,4.53697
1.16672,-6.44066,4.40662
1.18333,-6.42656,4.26559
1.19999,-6.41143,4.1143
1.21669,-6.39536,3.95358
1.2334,-6.3784,3.78404
1.25003,-6.36063,3.60634
1.2667,-6.34211,3.42107
1.28336,-6.31299,3.12986
1.29999,-6.29279,2.92787
1.3167,-6.28245,2.82455
1.33336,-6.25067,2.50673
1.35003,-6.22885,2.28848
1.36669,-6.20658,2.06576
1.38336,-6.18387,1.83875
1.39999,-6.16077,1.60769
1.41669,-6.13732,1.37317
1.43336,-6.11352,1.13519
1.45003,-6.08942,0.894232
1.4667,-6.06503,0.650334
1.48336,-6.04036,0.403633
1.50001,-6.01547,0.154657
1.5167,-5.99032,-0.0968313
1.53336,-5.95221,-0.477948
1.55003,-5.92655,-0.734472
1.5667,-5.90076,-0.99237
1.58336,-5.87499,-1.25013
1.59999,-5.84955,-1.50448
1.6167,-5.82486,-1.75141
1.63336,-5.80143,-1.98571
1.65003,-5.77958,-2.20418
1.66669,-5.75935,-2.40654
1.68336,-5.74073,-2.59274
1.70002,-5.72375,-2.76254
1.71669,-5.70834,-2.91658
1.73336,-5.68824,-3.11756
1.75002,-5.67679,-3.23206
1.7667,-5.66698,-3.33019
1.78336,-5.65871,-3.4129
1.79999,-5.65202,-3.47979
1.8167,-5.64696,-3.53043
1.83336,-5.64347,-3.56531
1.85003,-5.64162,-3.58376
1.8667,-5.64135,-3.5865
1.88336,-5.64268,-3.57316
1.89998,-5.64566,-3.54341
1.91669,-5.65024,-3.49762
1.93336,-5.65648,-3.43524
1.95003,-5.66884,-3.31165
1.96669,-5.67916,-3.20843
1.98336,-5.69109,-3.08909
1.99999,-5.70468,-2.95321
2.01669,-5.71995,-2.80049
2.03336,-5.73689,-2.63111
2.05003,-5.75551,-2.44488
2.06669,-5.77577,-2.24228
2.08336,-5.79767,-2.02326
2.09998,-5.82101,-1.78988
2.1167,-5.84542,-1.54575
2.13336,-5.87058,-1.29418
2.15003,-5.90882,-0.911798
2.1667,-5.93411,-0.658913
2.18336,-5.9588,-0.412049
2.19998,-5.9826,-0.173979
2.2167,-6.00525,0.0524998
2.23336,-6.02658,0.26577
2.25003,-6.04635,0.463514
2.26669,-6.06443,0.644317
2.28336,-6.08066,0.806594
2.29999,-6.09489,0.948858
2.31669,-6.10712,1.07119
2.33336,-6.11725,1.1725
2.35002,-6.12538,1.25379
2.36669,-6.13147,1.31471
2.38336,-6.13547,1.35468
2.39999,-6.13769,1.3769
2.41669,-6.13669,1.36687
2.43336,-6.13384,1.33837
2.45003,-6.12913,1.29128
2.4667,-6.12274,1.22745
2.48336,-6.11472,1.14725
2.49999,-6.10512,1.05122
2.51669,-6.09407,0.940719
2.53336,-6.0816,0.816021
2.55003,-6.06787,0.678735
2.56669,-6.05293,0.529275
2.58336,-6.03683,0.368309
2.59998,-6.01074,0.107393
2.61669,-5.99214,-0.0785971
2.63336,-5.97267,-0.27328
2.65003,-5.95239,-0.476122
2.66669,-5.93137,-0.686293
2.68336,-5.90973,-0.902715
2.69999,-5.88777,-1.12227
2.71669,-5.86593,-1.34072
2.73336,-5.84469,-1.55307
2.75002,-5.82452,-1.75478
2.76669,-5.80577,-1.94233
2.78337,-5.78861,-2.11394
2.79999,-5.76593,-2.34071
2.81669,-5.75921,-2.40787
2.83336,-5.74693,-2.53065
2.85003,-5.73152,-2.68475
2.86669,-5.72321,-2.76788
2.88336,-5.71646,-2.83536
2.89999,-5.71134,-2.88664
2.91669,-5.70776,-2.92241
2.93336,-5.70581,-2.9419
2.95003,-5.7054,-2.946
2.96669,-5.70657,-2.93432
2.98336,-5.70935,-2.90648
2.99999,-5.71371,-2.86295
3.0167,-5.71969,-2.80307
3.03336,-5.73164,-2.6836
3.05003,-5.74165,-2.58348
3.06672,-5.75324,-2.4676
3.08336,-5.76645,-2.33555
3.10002,-5.78128,-2.18717
3.11669,-5.79767,-2.02329
3.13336,-5.81543,-1.84571
3.15003,-5.83421,-1.65793
3.16669,-5.85371,-1.46294
3.18336,-5.8736,-1.26395
3.19999,-5.89354,-1.06465
3.21669,-5.91325,-0.867529
3.23336,-5.93246,-0.675449
3.25002,-5.95981,-0.401945
3.2667,-5.97676,-0.232401
3.28336,-5.99249,-0.07514
3.3,-6.00679,0.0678873
3.31669,-6.01959,0.195856
3.33336,-6.03074,0.307446
3.35003,-6.04025,0.402522
3.3667,-6.04799,0.479937
3.38336,-6.05385,0.538535
3.39999,-6.05784,0.57838
3.41669,-6.05983,0.59834
3.43336,-6.05992,0.599194
3.45003,-6.05805,0.580506
3.46669,-6.05156,0.515623
3.48336,-6.04493,0.449257
3.49999,-6.03648,0.364766
3.51669,-6.02635,0.263476
3.53336,-6.01457,0.145655
3.55003,-6.00132,0.0131655
3.5667,-5.98665,-0.133548
3.58336,-5.97063,-0.29367
3.6,-5.95347,-0.465331
3.6167,-5.9353,-0.647035
3.63336,-5.91641,-0.835919
3.65003,-5.89702,-1.02977
3.6667,-5.87743,-1.22575
3.68336,-5.85794,-1.42059
3.69998,-5.82961,-1.70391
3.71669,-5.8118,-1.88198
3.73336,-5.79524,-2.04755
3.75003,-5.78019,-2.1981
3.76672,-5.76675,-2.33253
3.78336,-5.75496,-2.45035
3.79999,-5.7448,-2.55204
3.81669,-5.73629,-2.6371
3.83336,-5.72934,-2.70658
3.85003,-5.72397,-2.7603
3.8667,-5.72022,-2.79778
3.88336,-5.71803,-2.81968
3.89998,-5.71749,-2.82507
3.9167,-5.71851,-2.81487
3.93336,-5.72305,-2.76947
3.95003,-5.72806,-2.71944
3.9667,-5.73465,-2.65347
3.98338,-5.74288,-2.57125
3.99999,-5.75268,-2.47317
4.01669,-5.76413,-2.35866
4.03337,-5.77717,-2.22835
4.05003,-5.79168,-2.0832
4.06669,-5.80749,-1.92514
4.08336,-5.82429,-1.75708
4.09998,-5.84186,-1.58145
4.11669,-5.85982,-1.4018
4.13336,-5.88697,-1.13028
4.15003,-5.90479,-0.952082
4.1667,-5.92213,-0.778737
4.18336,-5.93874,-0.612564
4.19999,-5.95446,-0.455422
4.2167,-5.96911,-0.308895
4.23336,-5.98258,-0.174155
4.25003,-5.99472,-0.0528431
4.26669,-6.00534,0.0533867
4.28336,-6.01439,0.143857
4.29999,-6.02172,0.217214
4.31669,-6.02736,0.273576
4.33336,-6.03122,0.312228
4.35003,-6.03356,0.335636
4.3667,-6.03286,0.328598
4.38336,-6.03029,0.302882
4.39999,-6.02592,0.259161
4.41669,-6.01971,0.197077
4.43336,-6.01182,0.118208
4.45003,-6.00228,0.0228024
4.4667,-5.99114,-0.0886059
4.48336,-5.97855,-0.21451
4.49998,-5.96458,-0.354195
4.5167,-5.94948,-0.505238
4.53336,-5.93335,-0.666466
4.55003,-5.9077,-0.923009
4.56669,-5.89888,-1.01115
4.58336,-5.87204,-1.2796
4.59999,-5.85418,-1.45817
4.61669,-5.83667,-1.63331
4.63336,-5.81976,-1.80241
4.65003,-5.80384,-1.96161
4.66669,-5.78915,-2.10845
4.68336,-5.77587,-2.24132
4.69998,-5.76419,-2.35807
4.71669,-5.75413,-2.4587
4.73336,-5.74569,-2.54314
4.75002,-5.73889,-2.6111
4.7667,-5.73368,-2.66322
4.78336,-5.7289,-2.71103
4.79999,-5.72767,-2.72325
4.8167,-5.72767,-2.72328
4.83336,-5.73006,-2.69941
4.85003,-5.73361,-2.66385
4.8667,-5.73879,-2.61206
4.88336,-5.74555,-2.54447
4.89999,-5.75395,-2.46049
4.91669,-5.76392,-2.36085
4.93336,-5.77545,-2.24547
4.95003,-5.78846,-2.11543
4.9667,-5.80269,-1.97309
4.98336,-5.81796,-1.82043
4.99998,-5.8339,-1.66098
5.0167,-5.85861,-1.41392
5.03336,-5.87522,-1.24778
5.05003,-5.89168,-1.08316
5.0667,-5.90777,-0.922313
5.08336,-5.92327,-0.767283
5.09999,-5.93803,-0.619698
5.1167,-5.95189,-0.481067
5.13336,-5.96469,-0.353136
5.15003,-5.97624,-0.237637
5.16669,-5.98645,-0.135508
5.18336,-5.99517,-0.0483465
5.19999,-6.00236,0.0236273
5.21669,-6.0101,0.101037
5.23336,-6.01319,0.131884
5.25003,-6.01458,0.14576
5.26669,-6.01422,0.142169
5.28336,-6.01216,0.121593
5.29999,-6.00837,0.0837278
5.3167,-6.00297,0.0297451
5.33336,-5.99597,-0.0403309
5.35003,-5.98738,-0.12619
5.3667,-5.97735,-0.226526
5.38337,-5.96591,-0.340862
5.39999,-5.95329,-0.467067
5.4167,-5.93958,-0.604215
5.43336,-5.92492,-0.750771
5.45003,-5.90164,-0.98361
5.4667,-5.88554,-1.14464
5.48336,-5.86926,-1.30741
5.49999,-5.85304,-1.46961
5.51669,-5.83715,-1.62854
5.53336,-5.82174,-1.78259
5.55003,-5.80712,-1.92876
5.56669,-5.79361,-2.06394
5.58336,-5.78148,-2.18518
5.59998,-5.7709,-2.29096
5.6167,-5.76195,-2.38054
5.63336,-5.75465,-2.45351
5.65002,-5.74674,-2.5326
5.6667,-5.7435,-2.56496
5.68337,-5.74184,-2.58158
5.69998,-5.74182,-2.58177
5.7167,-5.74336,-2.56644
5.73336,-5.74648,-2.53522
5.75003,-5.75122,-2.48775
5.76669,-5.75755,-2.42449
5.78336,-5.76552,-2.34475
5.79999,-5.77502,-2.24977
5.81669,-5.78596,-2.1404
5.83336,-5.79819,-2.01811
5.85003,-5.81147,-1.88529
5.86669,-5.83292,-1.67077
5.88336,-5.84787,-1.52132
5.89999,-5.86309,-1.36906
5.9167,-5.87833,-1.21673
5.93336,-5.89338,-1.06623
5.95003,-5.90807,-0.919266
5.9667,-5.92223,-0.777726
5.98336,-5.93561,-0.643859
5.99999,-5.94808,-0.519223
6.0167,-5.95947,-0.405335
6.03337,-5.96962,-0.30376
6.05004,-5.97848,-0.215182
6.06669,-5.98911,-0.108871
6.08337,-5.99437,-0.0563002
6.09998,-5.99805,-0.0194883
6.1167,-6.00019,0.0019455
6.13336,-6.00076,0.0075531
6.15003,-5.99971,-0.00294685
6.16669,-5.9971,-0.0289583
6.18337,-5.9929,-0.0710058
6.19999,-5.9872,-0.128012
6.21669,-5.98003,-0.199685
6.23338,-5.97145,-0.28554
6.25005,-5.96158,-0.384221
6.2667,-5.95049,-0.495124
6.28336,-5.93197,-0.680275
6.29999,-5.91854,-0.814567
6.31669,-5.9045,-0.955038
6.33336,-5.88999,-1.10009
6.35003,-5.87522,-1.24778
6.36669,-5.8604,-1.396
6.38336,-5.84581,-1.54187
6.39999,-5.83171,-1.6829
6.41669,-5.81832,-1.81683
6.43336,-5.80587,-1.94132
6.45003,-5.79457,-2.05429
6.4667,-5.78466,-2.15341
6.48336,-5.77625,-2.23749
6.5,-5.76668,-2.33316
6.51669,-5.76233,-2.37668
6.53336,-5.75961,-2.40395
6.55003,-5.75852,-2.41482
6.5667,-5.75901,-2.40992
6.58336,-5.76115,-2.38855
6.6,-5.76484,-2.35161
6.6167,-5.77013,-2.29873
6.63336,-5.77701,-2.22986
6.65003,-5.78536,-2.14641
6.66669,-5.79508,-2.04916
6.68336,-5.80594,-1.94064
6.69999,-5.81775,-1.82248
6.71669,-5.83036,-1.69643
6.73336,-5.85025,-1.49751
6.75002,-5.86389,-1.36115
6.76669,-5.87757,-1.22433
6.78337,-5.89113,-1.0887
6.79999,-5.90436,-0.956383
6.81666,-5.91714,-0.828624
6.83336,-5.92929,-0.707111
6.85003,-5.94064,-0.593576
6.8667,-5.95103,-0.489678
6.88337,-5.96037,-0.396323
6.89999,-5.96854,-0.314589
6.91669,-5.97544,-0.245643
6.93336,-5.98328,-0.16715
6.95003,-5.98676,-0.132437
6.9667,-5.98881,-0.111942
6.98336,-5.98935,-0.106463
6.99999,-5.98847,-0.115323
7.01669,-5.98615,-0.138545
7.03336,-5.98238,-0.176234
7.05003,-5.97723,-0.227661
7.0667,-5.97072,-0.292826
7.08336,-5.96297,-0.370288
7.09999,-5.95405,-0.45949
7.1167,-5.94404,-0.559583
7.13336,-5.9331,-0.668993
7.15002,-5.91521,-0.847902
