Time,Pos_X,Output_X
1.047e-06,-0.0465856,8
0.0166365,-0.0453969,0.428508
0.0332984,-0.0442114,0.441975
0.0499655,-0.0430341,0.455445
0.0666348,-0.0418648,0.468905
0.08329,-0.0407011,0.482327
0.0999665,-0.0395565,0.495807
0.116636,-0.0378319,0.507228
0.133298,-0.0365988,0.522032
0.149968,-0.0353263,0.535222
0.166632,-0.0339295,0.548082
0.183322,-0.0324715,0.561117
0.199972,-0.0309578,0.574077
0.216633,-0.029472,0.587301
0.233299,-0.0279114,0.600169
0.249968,-0.0262998,0.61307
0.266632,-0.0245881,0.625751
0.283299,-0.0226412,0.637918
0.299956,-0.0205686,0.650321
0.316633,-0.0183388,0.662566
0.333301,-0.0147117,0.670476
0.349968,-0.0120795,0.685918
0.366636,-0.00927839,0.697769
0.383301,-0.00629996,0.709479
0.399964,-0.00314307,0.721073
0.416617,0.000193734,0.732538
0.43331,0.00371238,0.743937
0.449971,0.0074125,0.755146
0.466636,0.0112973,0.766247
0.483298,0.0153625,0.777228
0.499965,0.0196107,0.788086
0.516636,0.0240405,0.79882
0.5333,0.028678,0.809312
0.549972,0.0359758,0.811332
0.56659,0.0410642,0.828652
0.583298,0.0463338,0.838866
0.599969,0.0517792,0.848811
0.616633,0.0574026,0.858622
0.633301,0.0632016,0.868311
0.64997,0.0692123,0.877725
0.666632,0.0754332,0.886963
0.683297,0.08182,0.896197
0.699969,0.0883745,0.905287
0.716633,0.0950934,0.9142
0.733302,0.101976,0.922986
0.749965,0.112606,0.919378
0.766631,0.119893,0.938287
0.783301,0.127326,0.946568
0.799947,0.134912,0.954607
0.816634,0.142655,0.962597
0.833298,0.150548,0.970334
0.849965,0.15859,0.977945
0.866636,0.166783,0.985391
0.883298,0.175116,0.992672
0.899968,0.183601,0.999778
0.91664,0.19223,1.00674
0.933297,0.200991,1.01351
0.949973,0.209888,1.02018
0.966632,0.223464,1.01111
0.983296,0.232675,1.03083
0.999968,0.242001,1.03694
1.01663,0.251446,1.04283
1.0333,0.261009,1.04857
1.04997,0.270683,1.05418
1.06664,0.280465,1.05959
1.0833,0.290344,1.06487
1.09997,0.300324,1.06997
1.11664,0.310394,1.07494
1.1333,0.320555,1.07972
1.14996,0.330865,1.08413
1.16663,0.341307,1.08843
1.1833,0.351826,1.0927
1.19997,0.367734,1.0787
1.21663,0.378423,1.09845
1.23325,0.389172,1.10206
1.24996,0.399979,1.10584
1.26663,0.410844,1.10917
1.2833,0.421755,1.11244
1.29997,0.432715,1.11556
1.31659,0.443715,1.1184
1.3333,0.454755,1.12141
1.34997,0.465832,1.12399
1.36663,0.476936,1.12649
1.3833,0.48807,1.12886
1.39996,0.499224,1.13109
1.41664,0.515927,1.11436
1.4333,0.527081,1.1329
1.44997,0.538248,1.13461
1.46663,0.549425,1.13619
1.4833,0.560602,1.13767
