Time,X,Y,Z
5.1503e-05,-0.00178485,-0.0377655,-4.96738
0.0166197,-0.00177774,-0.0376521,-4.96765
0.0332868,-0.00177252,-0.0375389,-4.96792
0.0499507,-0.00176888,-0.0374251,-4.96819
0.0666189,-0.00176681,-0.0373119,-4.96846
0.0832902,-0.00176583,-0.037198,-4.96871
0.0999495,-0.00177471,-0.0370872,-4.9687
0.116616,-0.00180054,-0.0369856,-4.96786
0.133288,-0.00182278,-0.0368993,-4.96588
0.149929,-0.00186765,-0.0369043,-4.96259
0.166621,-0.00175873,-0.0369068,-4.95516
0.183283,-0.00154114,-0.0368699,-4.94861
0.199948,-0.00112233,-0.0367561,-4.94088
0.216616,-0.000666342,-0.0365588,-4.93216
0.233234,-0.000231523,-0.0363073,-4.92257
0.249947,0.00047665,-0.0359118,-4.91217
0.266616,0.00126994,-0.0355585,-4.90119
0.283278,0.00254428,-0.0350242,-4.88959
0.29995,0.00410685,-0.0343628,-4.87763
0.316613,0.00610922,-0.0335131,-4.86535
0.333281,0.00915858,-0.0319593,-4.85247
0.34995,0.0131198,-0.0298587,-4.83919
0.366619,0.0180548,-0.027114,-4.82553
0.383279,0.0272265,-0.0220287,-4.80477
0.399949,0.0349001,-0.0175271,-4.79054
0.416611,0.0437153,-0.0122925,-4.7761
0.433283,0.0537864,-0.00620167,-4.76141
0.449949,0.0652201,0.000964254,-4.74637
0.466652,0.0780278,0.00914508,-4.73106
0.483283,0.0922852,0.0185121,-4.71542
0.499948,0.108007,0.0290299,-4.69947
0.516615,0.125249,0.0409275,-4.68319
0.533281,0.144021,0.0542823,-4.66659
0.549943,0.16438,0.0689783,-4.64964
0.566616,0.186351,0.085067,-4.63237
0.583286,0.209949,0.10257,-4.61473
0.599946,0.248477,0.131573,-4.58761
0.616617,0.276243,0.152753,-4.56909
0.633284,0.305619,0.175691,-4.55017
0.649955,0.336582,0.200345,-4.53093
0.666618,0.369228,0.226551,-4.5113
0.683281,0.40358,0.254276,-4.49133
