Counter,Norm,X,Y,Z
-0.000571974,0.04967,-4.9952
0,11.5689,-0.000430321,0.0495062,-4.99523
0,11.3883,-0.000305943,0.0493578,-4.99525
0,11.6303,-0.000106135,0.0490773,-4.99528
0,11.721,7.27661e-05,0.0488195,-4.99531
0,11.8775,0.00023497,0.0485789,-4.99534
0,11.7176,0.000374609,0.0483574,-4.99523
0,11.7875,0.000491571,0.0481462,-4.99449
0,11.9739,0.00061789,0.0479313,-4.99275
0,12.1127,0.000867316,0.0476377,-4.98793
0,11.8484,0.00110956,0.0473085,-4.98318
0,12.0311,0.00142525,0.0468861,-4.97729
0,11.4995,0.00189267,0.0466038,-4.97038
0,12.0475,0.00240783,0.046416,-4.96249
0,11.9589,0.00293549,0.0462523,-4.95367
0,11.705,0.00368283,0.0462426,-4.94401
0,11.8143,0.00452172,0.0462975,-4.93368
0,11.8502,0.00576066,0.0466316,-4.92261
0,11.4634,0.00716808,0.0467974,-4.91103
0,11.7015,0.00878197,0.0472235,-4.89899
0,11.9361,0.0109311,0.0481837,-4.88649
0,11.5681,0.0133846,0.0495332,-4.87364
0,11.9684,0.0183026,0.0528063,-4.85383
0,11.3791,0.0225966,0.0558006,-4.84044
0,11.6778,0.0278931,0.0596909,-4.82675
0,11.2925,0.0342594,0.0642819,-4.81279
0,11.7399,0.0417454,0.0697418,-4.79855
0,11.7375,0.0503618,0.0763272,-4.78401
0,11.5373,0.0600692,0.0839347,-4.76916
0,11.6018,0.0709773,0.0926627,-4.7539
0,11.56,0.0830546,0.102487,-4.73835
0,11.5583,0.0962629,0.113472,-4.72236
0,11.5378,0.110572,0.125615,-4.70578
0,11.5559,0.126197,0.139137,-4.68888
0,11.5427,0.143266,0.154056,-4.67175
0,11.78,0.171224,0.178851,-4.64518
0,11.1898,0.191541,0.19693,-4.6269
0,11.5938,0.213202,0.216265,-4.60802
0,11.2056,0.236258,0.236944,-4.58868
0,11.3228,0.260616,0.25887,-4.56902
0,11.4384,0.286328,0.282178,-4.549
0,11.5358,0.313407,0.306797,-4.52867
0,11.203,0.341745,0.332624,-4.5077
0,11.3049,0.371322,0.359512,-4.48572
0,11.2705,0.402197,0.387496,-4.46321
0,11.0534,0.434422,0.416715,-4.44027
0,11.2872,0.468078,0.447153,-4.41719
0,11.1804,0.503127,0.478899,-4.3941
0,11.0051,0.558357,0.528946,-4.35908
0,10.7963,0.596766,0.563729,-4.33511
0,11.0254,0.636512,0.59973,-4.31072
0,10.5365,0.677622,0.636901,-4.28613
0,10.5711,0.720102,0.675307,-4.26137
0,10.477,0.763976,0.714856,-4.23642
0,10.6649,0.809221,0.755505,-4.21135
0,10.52,0.855936,0.797337,-4.18623
0,10.8809,0.904249,0.840636,-4.16126
0,10.4654,0.954078,0.885142,-4.13633
0,10.5516,1.0053,0.930729,-4.11124
0,10.4289,1.05772,0.977425,-4.0858
0,10.5785,1.1113,1.02524,-4.05994
0,10.0476,1.19388,1.09874,-4.02053
0,9.96787,1.25046,1.14896,-3.99387
0,10.0579,1.30855,1.20055,-3.96725
0,10.1967,1.3681,1.25334,-3.94072
0,9.93636,1.42905,1.3073,-3.91423
0,9.68443,1.49111,1.3624,-3.88758
0,9.66597,1.55419,1.41851,-3.86059
0,9.49621,1.61824,1.4755,-3.83325
0,9.55183,1.68329,1.53335,-3.80555
0,9.62071,1.74944,1.59217,-3.7778
0,9.08306,1.81679,1.65245,-3.75005
0,9.32161,1.88537,1.71382,-3.72234
0,8.83742,1.95498,1.77619,-3.69468
0,8.78697,2.0611,1.87146,-3.65264
0,8.76908,2.13296,1.93597,-3.62419
0,9.12806,2.20578,2.00133,-3.59562
0,8.41386,2.27955,2.06744,-3.56701
0,8.62403,2.35406,2.13482,-3.53832
0,8.69695,2.42937,2.20312,-3.50963
0,8.41384,2.50562,2.27227,-3.48125
0,8.28646,2.58285,2.34243,-3.45332
0,8.09737,2.66111,2.41345,-3.42585
0,8.0657,2.74035,2.48535,-3.39886
0,8.06164,2.82048,2.5581,-3.37218
0,7.81747,2.90147,2.63153,-3.34569
0,7.91632,2.9829,2.70612,-3.3192
0,7.60561,3.10623,2.81893,-3.27904
0,7.3606,3.18909,2.89472,-3.252
0,7.4265,3.27252,2.97092,-3.22495
0,7.28061,3.35642,3.04761,-3.19798
0,7.11416,3.44091,3.12486,-3.1711
0,7.04056,3.52601,3.20255,-3.14438
0,6.76072,3.61167,3.28104,-3.11775
0,6.84696,3.69777,3.36013,-3.09124
0,6.66263,3.78439,3.43952,-3.06499
0,6.75361,3.87145,3.51918,-3.03898
0,6.30562,3.95886,3.59899,-3.01322
0,6.2737,4.04658,3.67909,-2.98739
0,6.06333,4.13457,3.75926,-2.96157
0,6.07851,4.26691,3.88009,-2.92313
0,5.53576,4.35523,3.96091,-2.89774
0,5.8821,4.44366,4.04181,-2.87262
0,5.56033,4.53224,4.12283,-2.84771
0,5.44207,4.62093,4.20376,-2.82301
0,5.77298,4.70973,4.28473,-2.79866
0,5.38764,4.79851,4.3655,-2.77456
0,5.06377,4.88712,4.44606,-2.7505
0,5.08241,4.97529,4.52659,-2.72645
0,5.10912,5.06306,4.60702,-2.70242
0,4.86433,5.15064,4.68719,-2.67842
0,4.73028,5.23802,4.76703,-2.65448
0,4.5705,5.32533,4.8467,-2.63082
0,4.40154,5.45601,4.96575,-2.59501
0,4.57982,5.54274,5.04466,-2.57108
0,4.30875,5.62902,5.12308,-2.54712
0,4.28253,5.71446,5.20135,-2.5232
0,4.23391,5.79934,5.27911,-2.4995
0,3.99702,5.88374,5.35628,-2.47611
0,3.743,5.96769,5.4331,-2.45278
0,3.83184,6.0511,5.50941,-2.42946
0,3.76624,6.13394,5.58499,-2.40628
0,3.52429,6.21605,5.65994,-2.38325
0,3.42653,6.29737,5.73432,-2.36029
0,3.35567,6.37773,5.80839,-2.33763
0,3.09079,6.45728,5.88174,-2.31562
0,3.09249,6.57527,5.98998,-2.28363
0,2.99484,6.65295,6.06102,-2.26317
0,3.04918,6.72984,6.13097,-2.24349
0,2.87831,6.80579,6.1999,-2.22465
0,2.73285,6.88085,6.26778,-2.20657
0,2.59246,6.95444,6.33499,-2.18903
0,2.57107,7.02711,6.40115,-2.17201
0,2.51767,7.0989,6.46616,-2.1557
0,2.769,7.16973,6.53003,-2.13991
0,2.6432,7.23969,6.59281,-2.12472
0,2.52172,7.30858,6.65449,-2.11022
0,2.45056,7.37637,6.71516,-2.09645
0,2.25825,7.47601,6.80454,-2.0771
0,2.03281,7.54103,6.86292,-2.06508
0,2.12243,7.60516,6.92038,-2.05389
0,2.15107,7.66827,6.97693,-2.04329
0,2.13768,7.73053,7.03265,-2.03343
