X,Y,Z
0.00489378,0.00582933,-4.95091
0.00478671,0.00591217,-4.95129
0.00462743,0.00603476,-4.95185
0.00452169,0.00611581,-4.95222
0.00441682,0.00619581,-4.95258
0.00431256,0.00627489,-4.95293
0.00428186,0.00635191,-4.95289
0.00424627,0.00642804,-4.95167
0.00420559,0.0065033,-4.94889
0.00416062,0.0065775,-4.94441
0.00411087,0.00665092,-4.9382
0.0040572,0.00672324,-4.93029
0.00399931,0.00679474,-4.92083
0.00397906,0.00687033,-4.90994
0.00399398,0.0069488,-4.8977
0.00400108,0.00702534,-4.88424
0.00400181,0.0070994,-4.8696
0.00399028,0.00720702,-4.84575
0.00397622,0.00727591,-4.82864
0.00395663,0.0073429,-4.81071
0.00393185,0.00740794,-4.79199
0.0040397,0.00744503,-4.77257
0.00413462,0.00748129,-4.75251
0.00421924,0.00751575,-4.73184
0.00429259,0.00754945,-4.71064
0.00435564,0.00758223,-4.68895
0.00441057,0.00761311,-4.66681
0.00445652,0.00764305,-4.64427
0.00449527,0.00767121,-4.62136
0.00451532,0.00777871,-4.59811
0.0045282,0.00788145,-4.57456
0.00453671,0.00802745,-4.53871
0.00453462,0.00811949,-4.5145
0.00452766,0.00820777,-4.49007
0.00451563,0.00829221,-4.46543
0.00449931,0.00837318,-4.44061
0.00457534,0.00852617,-4.41564
0.00464166,0.00867162,-4.3905
0.00470026,0.008811,-4.36523
0.0047503,0.00894374,-4.33982
0.00479352,0.00907104,-4.3143
0.00482906,0.00919257,-4.28866
0.00486969,0.00936504,-4.25002
0.00492351,0.00951465,-4.22416
0.00500212,0.00969649,-4.19821
0.00507206,0.0098709,-4.1722
0.00513232,0.0100368,-4.14612
0.00518482,0.0101959,-4.11998
0.00522863,0.0103473,-4.09379
0.0052643,0.0104912,-4.06753
0.00529345,0.0106288,-4.04125
0.00531,0.0107418,-4.01491
0.00531544,0.010832,-3.98855
0.00531478,0.0109175,-3.96216
0.00530837,0.0109982,-3.93573
0.00529724,0.0110745,-3.90928
0.00527099,0.01118,-3.86957
0.00524786,0.0112447,-3.84308
0.00526684,0.011331,-3.81659
0.00532609,0.0114376,-3.79011
0.00537623,0.0115368,-3.76362
0.00541783,0.0116285,-3.73712
0.00545255,0.0117137,-3.71061
0.00547948,0.0117916,-3.6841
