Time,X,Y,Z
1.089e-05,7.81914,6.95659,0
0.0166384,7.79285,6.96702,0
0.0333021,7.8145,6.97174,0
0.0499697,7.82764,6.97013,0
0.0666325,7.84677,6.95928,0
0.0833068,7.82328,6.94261,0
0.0999707,7.82852,6.89278,0
0.116631,7.84113,6.91365,0
0.133303,7.84151,6.96357,0
0.149969,7.86155,6.9361,0
0.166637,7.86536,6.97466,0
0.183304,7.88019,6.95757,0
0.19997,7.83689,6.97269,0
0.216639,7.84755,6.93968,0
0.233302,7.88049,6.9494,0
0.249973,7.92649,6.99421,0
0.26664,7.88281,6.97382,0
0.283306,7.94085,6.97007,0
0.299971,7.91773,6.94763,0
0.316644,7.89095,6.9458,0
0.333305,7.92268,6.96805,0
0.349972,7.9069,6.94007,0
0.36664,7.93095,7.01222,0
0.383309,7.88035,6.96509,0
0.399974,7.86929,6.94948,0
0.416644,7.94402,6.96026,0
0.433311,7.9461,6.95689,0
0.449926,7.93637,6.94899,0
0.466638,7.95091,6.9835,0
0.483305,7.95112,6.95859,0
0.499979,7.94437,6.99177,0
0.516639,7.95148,6.94604,0
0.533309,7.99492,6.96959,0
0.549973,7.99902,7.00424,0
0.566646,7.95341,6.98447,0
0.583315,7.95119,7.00018,0
0.599974,7.99053,6.95744,0
0.616645,7.99742,6.97267,0
0.633313,8.01055,7.0306,0
0.649974,8.00076,6.9781,0
0.666634,7.9963,7.002,0
0.683313,8.02057,6.98405,0
0.699975,8.00631,6.98037,0
0.716635,8.04471,6.99255,0
0.733302,8.03518,6.98615,0
0.749973,7.99946,6.96401,0
0.766635,8.04687,6.99852,0
0.7833,8.03522,6.97311,0
0.799963,8.07093,6.93524,0
0.81664,8.03953,7.0178,0
0.833301,8.0196,6.98234,0
0.850008,8.09167,6.98591,0
0.866633,8.04633,6.96248,0
0.883308,8.08133,6.99332,0
0.899932,8.04644,7.0296,0
0.916634,8.10385,6.99757,0
0.933301,8.11042,7.00075,0
0.949972,8.04892,6.97592,0
0.966635,8.1322,6.98337,0
0.983306,8.10815,7.0279,0
0.999965,8.09069,6.9869,0
1.01663,8.12071,7.02742,0
1.03331,8.15049,6.98284,0
1.04997,8.13005,7.02081,0
1.06664,8.10406,6.9829,0
1.08331,8.13129,7.01427,0
1.09998,8.13163,6.95853,0
1.11659,8.12267,7.00914,0
1.13331,8.11174,7.02957,0
1.14997,8.14743,6.9793,0
1.16664,8.17403,6.9742,0
1.1833,8.17146,7.00599,0
1.19997,8.19245,7.01049,0
1.21664,8.18872,6.99213,0
1.23331,8.15015,7.00362,0
1.24997,8.16026,7.00245,0
1.26663,8.18202,7.05363,0
1.2833,8.17661,6.99814,0
1.29998,8.1984,6.99551,0
1.31664,8.21451,7.00974,0
1.3333,8.18943,7.01613,0
1.34997,8.24154,6.98424,0
1.36663,8.26894,6.99819,0
1.38331,8.2128,7.03668,0
1.39997,8.20945,7.00061,0
1.41663,8.22722,6.98511,0
1.4333,8.21379,7.01951,0
1.44997,8.28067,7.01052,0
1.46664,8.26944,7.003,0
1.48331,8.26747,6.96334,0
