X,Y,Z
7.91582,6.98095,0
8.03976,6.99453,0
8.02913,6.97776,0
8.07703,6.91793,0
8.03591,7.01937,0
7.97697,7.00506,0
8.08732,6.96548,0
8.0145,6.92878,0
8.08998,7.02569,0
8.00024,7.00004,0
7.99423,6.98525,0
8.03033,6.94294,0
8.05968,7.0372,0
7.91067,6.99235,0
8.06564,6.88367,0
8.04539,6.92119,0
8.03384,6.91285,0
8.05736,7.04548,0
8.11477,6.94979,0
8.09775,7.03192,0
8.05933,6.97369,0
8.07508,6.99584,0
8.11536,7.02636,0
8.08535,6.98616,0
8.15813,7.03815,0
8.05389,7.10499,0
8.16739,6.98683,0
8.10634,7.04334,0
8.16309,6.97488,0
8.19819,6.96371,0
8.15482,7.03393,0
8.1938,6.98222,0
8.21327,7.16007,0
8.17762,7.00006,0
8.25151,6.86546,0
8.1926,7.00957,0
8.19573,7.02508,0
8.21653,6.98906,0
8.12375,7.0671,0
8.21629,6.93968,0
8.14562,7.08181,0
8.20562,6.97398,0
8.27877,6.96225,0
8.19442,7.00285,0
8.21583,6.98698,0
8.20146,7.00749,0
8.21265,6.96389,0
8.16568,7.03877,0
8.27504,6.94448,0
8.26132,7.05272,0
8.19753,6.92534,0
8.14299,7.04374,0
8.22624,7.0333,0
8.28234,6.98963,0
8.18962,6.95831,0
8.24508,6.96702,0
8.30274,6.99978,0
8.2339,7.03996,0
8.31717,6.96081,0
8.36767,6.98211,0
8.27957,7.10027,0
8.22915,7.04255,0
8.35446,6.99535,0
8.34704,7.11111,0
8.2399,7.00622,0
8.27295,6.97475,0
8.31473,7.00866,0
8.29606,6.94119,0
8.38181,6.958,0
8.28196,6.95876,0
8.33658,6.95658,0
8.32178,7.08109,0
8.32415,7.05091,0
8.34853,6.9916,0
8.32185,6.94022,0
8.36839,6.96259,0
8.40257,6.92793,0
8.28833,6.99196,0
8.40499,6.97356,0
8.42528,7.01845,0
8.38082,6.9637,0
8.45372,6.97516,0
8.3912,6.96296,0
8.5081,6.94685,0
8.36221,7.05668,0
8.4374,7.03502,0
8.39363,6.98631,0
8.43162,6.98735,0
8.53201,7.03761,0
8.41045,7.01671,0
8.39873,6.9868,0
8.37258,7.003,0
8.38885,6.99911,0
8.48497,6.99099,0
8.50446,7.03561,0
8.38257,6.99251,0
8.39189,6.90751,0
8.544,7.01425,0
8.55668,6.98685,0
8.47995,7.04508,0
8.45382,6.94108,0
8.36753,6.96249,0
8.47869,6.97114,0
8.44748,7.00748,0
8.51222,6.91727,0
8.47803,6.91403,0
8.43482,7.02648,0
8.51396,7.0311,0
8.58166,6.99351,0
8.56914,6.99124,0
8.53706,6.98024,0
8.51098,7.01159,0
8.59385,6.88646,0
8.49216,6.9745,0
