Time,X,Y,Z
1.1247e-05,8.14343,6.99679,0
0.0166371,8.14839,6.9971,0
0.033321,8.15336,6.9974,0
0.0499757,8.15831,6.99768,0
0.0666061,8.16325,6.99794,0
0.0833026,8.1682,6.99818,0
0.0999712,8.17314,6.99842,0
0.116631,8.17807,6.99863,0
0.133306,8.183,6.99883,0
0.149971,8.18792,6.99901,0
0.166609,8.19283,6.99918,0
0.183306,8.19775,6.99934,0
0.199965,8.20265,6.99947,0
0.216631,8.20755,6.99959,0
0.233339,8.21246,6.9997,0
0.249989,8.21735,6.99979,0
0.266611,8.22222,6.99986,0
0.283302,8.2271,6.99992,0
0.299968,8.23198,6.99996,0
0.316638,8.23684,6.99999,0
0.3333,8.2417,7,0
0.349971,8.24656,6.99999,0
0.366608,8.2514,6.99997,0
0.383309,8.25626,6.99994,0
0.399976,8.2611,6.99989,0
0.416635,8.26593,6.99982,0
0.433304,8.27076,6.99973,0
0.449968,8.27558,6.99964,0
0.466612,8.28039,6.99952,0
0.483302,8.28521,6.99939,0
0.499965,8.29001,6.99924,0
0.516636,8.29481,6.99908,0
0.533307,8.29961,6.9989,0
0.549971,8.3044,6.99871,0
0.566619,8.30918,6.9985,0
0.583304,8.31396,6.99828,0
0.599974,8.31873,6.99803,0
0.616636,8.3235,6.99778,0
0.633305,8.32826,6.99751,0
0.649973,8.33301,6.99722,0
0.666609,8.33775,6.99691,0
0.683307,8.34251,6.99659,0
0.699973,8.34724,6.99626,0
0.716641,8.35198,6.99591,0
0.733308,8.3567,6.99554,0
0.74997,8.36142,6.99516,0
0.766615,8.36613,6.99476,0
0.783307,8.37085,6.99435,0
0.799966,8.37555,6.99392,0
0.816636,8.38025,6.99347,0
0.833297,8.38494,6.99301,0
0.849965,8.38963,6.99254,0
0.866611,8.3943,6.99205,0
0.883298,8.39898,6.99154,0
0.899971,8.40365,6.99101,0
0.916632,8.40831,6.99048,0
0.933299,8.41297,6.98992,0
0.94997,8.41762,6.98935,0
0.966607,8.42226,6.98876,0
0.983303,8.42691,6.98816,0
0.999968,8.43154,6.98754,0
1.01663,8.43617,6.98691,0
1.0333,8.4408,6.98626,0
1.04997,8.44541,6.9856,0
1.0666,8.45002,6.98492,0
1.0833,8.45463,6.98422,0
1.09997,8.45923,6.98351,0
1.11664,8.46382,6.98278,0
1.13331,8.46841,6.98204,0
1.14996,8.47299,6.98128,0
1.16661,8.47756,6.98051,0
1.1833,8.48214,6.97972,0
1.19996,8.4867,6.97891,0
