X,Y,Z
8.08341,6.99185,0
8.08844,6.99235,0
8.09346,6.99283,0
8.09848,6.9933,0
8.1035,6.99375,0
8.10851,6.99418,0
8.11351,6.9946,0
8.11851,6.99501,0
8.1235,6.9954,0
8.12849,6.99577,0
8.13347,6.99613,0
8.13845,6.99647,0
8.14342,6.99679,0
8.14839,6.9971,0
8.15335,6.9974,0
8.1583,6.99767,0
8.16325,6.99794,0
8.1682,6.99818,0
8.17313,6.99842,0
8.17807,6.99863,0
8.183,6.99883,0
8.18791,6.99901,0
8.19284,6.99918,0
8.19775,6.99934,0
8.20265,6.99947,0
8.20755,6.99959,0
8.21245,6.9997,0
8.21734,6.99979,0
8.22222,6.99986,0
8.2271,6.99992,0
8.23197,6.99996,0
8.23684,6.99999,0
8.2417,7,0
8.24656,6.99999,0
8.25142,6.99997,0
8.25625,6.99994,0
8.26109,6.99989,0
8.26593,6.99982,0
8.27075,6.99973,0
8.27558,6.99964,0
8.28039,6.99952,0
8.28521,6.99939,0
8.29001,6.99924,0
8.29481,6.99908,0
8.29961,6.9989,0
8.30439,6.99871,0
8.30918,6.9985,0
8.31396,6.99828,0
8.31873,6.99803,0
8.3235,6.99778,0
8.32825,6.99751,0
8.33301,6.99722,0
8.33776,6.99691,0
8.3425,6.9966,0
8.34724,6.99626,0
8.35197,6.99591,0
8.3567,6.99554,0
8.36142,6.99516,0
8.36613,6.99476,0
8.37084,6.99435,0
8.37555,6.99392,0
8.38024,6.99347,0
8.38494,6.99301,0
8.38962,6.99254,0
8.39431,6.99205,0
8.39898,6.99154,0
8.40365,6.99101,0
8.40831,6.99048,0
8.41297,6.98992,0
8.41762,6.98935,0
8.42227,6.98876,0
8.42691,6.98816,0
8.43154,6.98754,0
8.43617,6.98691,0
8.44079,6.98626,0
8.44541,6.9856,0
8.45002,6.98492,0
8.45463,6.98422,0
8.45922,6.98351,0
8.46382,6.98278,0
8.46841,6.98204,0
8.47299,6.98128,0
8.47756,6.98051,0
8.48214,6.97972,0
8.4867,6.97891,0
8.49126,6.97809,0
8.49581,6.97726,0
8.50035,6.9764,0
8.5049,6.97553,0
8.50943,6.97465,0
8.51396,6.97375,0
8.51849,6.97284,0
8.523,6.97191,0
8.52751,6.97096,0
8.53202,6.97,0
8.53651,6.96902,0
8.54101,6.96803,0
8.5455,6.96702,0
8.54998,6.966,0
8.55445,6.96496,0
8.55892,6.96391,0
8.56338,6.96284,0
8.56784,6.96175,0
8.57229,6.96065,0
8.57674,6.95953,0
8.58118,6.9584,0
8.58561,6.95725,0
8.59004,6.95609,0
8.59446,6.95491,0
8.59888,6.95372,0
8.60329,6.95251,0
8.60769,6.95128,0
8.61209,6.95004,0
8.61648,6.94878,0
8.62086,6.94751,0
8.62524,6.94622,0
8.62962,6.94492,0
8.63398,6.9436,0
8.63834,6.94227,0
8.6427,6.94092,0
8.64705,6.93956,0
8.65139,6.93818,0
8.65573,6.93678,0
8.66006,6.93537,0
8.66438,6.93394,0
8.6687,6.9325,0
8.67301,6.93105,0
8.67732,6.92957,0
8.68162,6.92809,0
8.68591,6.92658,0
8.6902,6.92507,0
8.69448,6.92353,0
8.69876,6.92198,0
8.70302,6.92042,0
8.70729,6.91884,0
8.71154,6.91724,0
8.71579,6.91563,0
8.72004,6.91401,0
8.72428,6.91237,0
8.72851,6.91071,0
8.73274,6.90904,0
8.73696,6.90735,0
8.74117,6.90565,0
8.74538,6.90393,0
8.74958,6.9022,0
8.75377,6.90046,0
8.75796,6.89869,0
8.76214,6.89692,0
8.76632,6.89512,0
8.77049,6.89331,0
8.77465,6.89149,0
8.77881,6.88965,0
8.78296,6.8878,0
8.7871,6.88593,0
8.79124,6.88405,0
8.79538,6.88215,0
8.7995,6.88023,0
8.80362,6.8783,0
8.80773,6.87636,0
8.81184,6.8744,0
8.81594,6.87242,0
8.82004,6.87043,0
8.82412,6.86843,0
8.82821,6.86641,0
8.83228,6.86438,0
8.83635,6.86233,0
8.84042,6.86026,0
8.84447,6.85818,0
8.84852,6.85609,0
8.85256,6.85398,0
8.8566,6.85185,0
8.86063,6.84971,0
8.86466,6.84756,0
8.86867,6.84539,0
8.87269,6.8432,0
8.87669,6.841,0
8.88069,6.83879,0
8.88468,6.83656,0
8.88867,6.83432,0
8.89265,6.83206,0
8.89662,6.82978,0
8.90059,6.82749,0
8.90455,6.82519,0
8.9085,6.82287,0
8.91245,6.82054,0
8.91639,6.81819,0
8.92033,6.81583,0
8.92426,6.81345,0
8.92818,6.81106,0
8.9321,6.80865,0
8.936,6.80623,0
8.93991,6.8038,0
8.9438,6.80134,0
8.94769,6.79888,0
8.95157,6.7964,0
8.95545,6.7939,0
8.95931,6.7914,0
8.96318,6.78887,0
8.96704,6.78633,0
8.97089,6.78378,0
8.97474,6.78121,0
8.97857,6.77863,0
8.9824,6.77603,0
8.98623,6.77342,0
8.99005,6.77079,0
8.99386,6.76815,0
8.99766,6.76549,0
9.00146,6.76282,0
9.00525,6.76014,0
9.00904,6.75744,0
9.01282,6.75473,0
9.01659,6.752,0
9.02036,6.74926,0
9.02411,6.7465,0
9.02787,6.74373,0
9.03161,6.74094,0
9.03535,6.73814,0
9.03908,6.73533,0
9.04281,6.7325,0
9.04653,6.72966,0
9.05024,6.7268,0
9.05395,6.72393,0
9.05765,6.72104,0
9.06134,6.71814,0
9.06503,6.71523,0
9.0687,6.7123,0
9.07238,6.70936,0
9.07605,6.7064,0
9.0797,6.70343,0
9.08336,6.70044,0
9.087,6.69744,0
9.09064,6.69443,0
