Time,Pos_Z,Output_Z
7.79e-07,-5.04936,-1.1883
0.0166117,-5.04869,-1.20098
0.0332796,-5.04804,-1.2137
0.0499469,-5.04741,-1.22639
0.0666116,-5.0468,-1.23906
0.0832826,-5.04621,-1.25172
0.0999455,-5.04609,-1.26379
0.116608,-5.04725,-1.27425
0.133279,-5.05001,-1.2827
0.149942,-5.05446,-1.28898
0.166611,-5.06062,-1.29307
0.183279,-5.06847,-1.29495
0.199949,-5.0779,-1.29475
0.216613,-5.09466,-1.28522
0.233276,-5.1073,-1.28065
0.249942,-5.12094,-1.27467
0.266612,-5.13539,-1.2675
0.283276,-5.15056,-1.25926
0.299949,-5.16626,-1.25016
0.31661,-5.18243,-1.24027
0.333276,-5.19894,-1.22974
0.349948,-5.2157,-1.2187
0.36661,-5.23264,-1.20722
0.383275,-5.24968,-1.19541
0.399948,-5.26677,-1.18332
0.416609,-5.29236,-1.16034
0.433277,-5.30934,-1.14784
0.449942,-5.32621,-1.13529
0.466608,-5.34292,-1.12272
0.483279,-5.35944,-1.11018
0.499945,-5.37575,-1.0977
0.516646,-5.39183,-1.08531
0.533278,-5.40763,-1.07305
0.549942,-5.42315,-1.06095
0.566615,-5.43834,-1.04909
0.583276,-5.45322,-1.03742
0.599948,-5.46776,-1.02598
0.616612,-5.4889,-1.00609
0.633277,-5.50254,-0.995332
0.649945,-5.51581,-0.984888
0.666611,-5.5287,-0.97474
0.683275,-5.54121,-0.964923
0.699945,-5.55334,-0.955416
0.71661,-5.56509,-0.946231
0.733277,-5.57645,-0.937403
0.749946,-5.58742,-0.928916
0.766563,-5.59799,-0.920786
0.78328,-5.60817,-0.913036
0.799944,-5.61796,-0.905626
0.816608,-5.62738,-0.898567
0.833278,-5.63643,-0.891861
0.849943,-5.64929,-0.880244
0.866609,-5.65742,-0.874418
0.88328,-5.66518,-0.868952
0.899941,-5.6726,-0.863814
0.916612,-5.67968,-0.859015
0.933275,-5.68642,-0.854546
0.949941,-5.69284,-0.850401
0.966612,-5.69893,-0.846595
0.983276,-5.70471,-0.8431
0.999943,-5.71018,-0.839919
1.01661,-5.71535,-0.837047
1.03328,-5.72024,-0.834466
1.04995,-5.72484,-0.832179
1.06661,-5.72919,-0.830159
1.08328,-5.73522,-0.825964
1.09995,-5.73894,-0.824601
1.11657,-5.74243,-0.823476
1.13328,-5.74569,-0.822605
1.14995,-5.74874,-0.821951
1.16661,-5.75159,-0.821513
1.18328,-5.75425,-0.821281
1.1999,-5.75671,-0.821244
1.21661,-5.75901,-0.821414
1.23328,-5.76113,-0.821761
1.24994,-5.76309,-0.822281
1.26661,-5.7649,-0.822965
1.28328,-5.76657,-0.823807
1.29994,-5.76883,-0.823882
1.31661,-5.77021,-0.825044
1.33327,-5.77148,-0.826324
1.34994,-5.77264,-0.827723
1.36661,-5.7737,-0.829229
1.38328,-5.77468,-0.830833
1.39995,-5.77556,-0.832535
1.41661,-5.77638,-0.834318
1.43328,-5.77711,-0.836187
1.44995,-5.77779,-0.83813
1.46661,-5.7784,-0.840137
1.48327,-5.77896,-0.842205
1.49995,-5.77948,-0.844318
1.51661,-5.78018,-0.846193
1.53328,-5.7806,-0.848405
1.54994,-5.781,-0.850646
1.56661,-5.78139,-0.852898
1.58328,-5.78175,-0.855173
1.59994,-5.7821,-0.857465
1.61661,-5.78244,-0.859761
1.63328,-5.78277,-0.862068
1.64994,-5.7831,-0.864369
1.66661,-5.78343,-0.866672
1.68328,-5.78375,-0.868969
1.69995,-5.78408,-0.871257
1.71661,-5.78442,-0.87353
1.73323,-5.78495,-0.875548
1.74994,-5.78532,-0.877779
1.76661,-5.78571,-0.879972
1.78328,-5.78612,-0.882138
1.79995,-5.78655,-0.884276
